	M00004	M00006	M00008	M00015	M00020	M00022	M00024	M00040	M00044	M00050	M00053	M00063	M00065	M00079	M00082	M00097	M00118	M00122	M00133	M00157	M00168	M00170	M00171	M00193	M00202	M00210	M00211	M00216	M00222	M00224	M00233	M00236	M00238	M00244	M00256	M00260	M00267	M00269	M00271	M00277	M00283	M00287	M00291	M00295	M00296	M00300	M00342	M00346	M00384	M00390	M00400	M00403	M00432	M00436	M00448	M00453	M00454	M00465	M00474	M00505	M00520	M00524	M00533	M00535	M00549	M00554	M00565	M00572	M00580	M00581	M00582	M00583	M00585	M00628	M00652	M00657	M00664	M00669	M00670	M00701	M00704	M00715	M00728	M00729	M00760	M00766	M00839
Octadecanoylcarnitine	0.178784174173119	0.0864885463895615	0.0569932061876604	0.149834142794524	0.264132989174862	0.198958439693773	0.474068334304233	0.111978237766908	0.111978237766908	0.127245722783882	0.128778669725442	0.117011720305989	0.645618613213628	0.115104535054547	0.325498682819171	0.457064641290849	0.270780412054925	0.0690249900901543	0.384870364079531	0.264132989174862	0.118843173786802	0.361461651585187	0.176292319612156	0.26746177429068	0.291171141417848	0.105157024238741	0.156302719133891	0.0796602948407329	0.093616207148492	0.236011714362953	0.063278280365222	0.0796602948407329	0.037808007562841	0.110424289111337	0.242604410957684	0.236011714362953	0.130245711866334	0.270780412054925	0.154064887487533	0.0523729306924186	0.159554095473931	0.063278280365222	0.37705775783646	0.154928375960384	0.113884961087446	0.0437865437670273	0.028106895481109	0.246261576626265	0.150404152770445	0.112387207187953	0.134387136218308	0.134387136218308	0.408637097506791	0.138294509802634	0.144542011796019	0.332364828139672	0.0591753403418369	0.246261576626265	0.361461651585187	0.289665846584458	0.0923395061677617	0.186915170958111	0.207534856334007	0.430136258921747	0.102126391107001	0.147400452250716	0.192787890006997	0.232881095179444	0.236011714362953	0.0746843810717991	0.0455107191579078	0.347955941241936	0.0485890845556489	0.236011714362953	0.15232547781761	0.15232547781761	0.181590090398086	0.105157024238741	0.105157024238741	0.379750657727777	0.0194612028460778	0.143005304789708	0.63877495611418	0.149834142794524	0.0557583110412708	0.0372134581737031	0.148755279785386
Ceramide.d18.1.16.0.	0.680219161354766	0.424836613259938	0.352319184310926	0.0912364139498593	0.404879850536832	0.617569071344195	0.229432398061763	0.209836138290625	0.253812633176381	0.52244900853104	0.753998888092978	0.0382955064365932	0.31759503746696	0.0393383301707533	0.300944576394877	0.15232547781761	0.925348819713581	0.334334591581982	0.0264285956042095	0.485785133184383	0.716473868088125	0.564907015199951	0.723902481075628	0.84611771308808	0.745772495617842	0.0535390271385423	0.186915170958111	0.0826097611929177	0.666273842445217	0.0656862004754765	0.474068334304233	0.540633560615427	0.352319184310926	0.424836613259938	0.424836613259938	0.652379360773876	0.0642536368485794	0.137204742123061	0.0614518939704435	0.112387207187953	0.294997272294171	0.106845732402755	0.561249342112335	0.137204742123061	0.647193779309495	0.40590197569538	0.18770102701486	0.98050368841478	0.101442104747663	0.0590878925612755	0.528604516468679	0.528604516468679	0.291571385596321	0.0667840689858981	0.256238537896698	0.446541073718826	0.115104535054547	0.236011714362953	0.292985698299355	0.0187754909330141	0.0737830692782438	0.0201096595074212	0.157655247410215	0.128778669725442	0.980610086284367	0.666273842445217	0.869388866189615	0.035383484895527	0.807441118026963	0.325498682819171	0.238977829232927	0.292985698299355	0.190679670184131	0.0519778971598915	0.216728838100742	0.216728838100742	0.0586020854460452	0.0535390271385423	0.0535390271385423	0.103392342893828	0.144181872286262	0.551582407375941	0.0540776614989807	0.597770582679909	0.264132989174862	0.243704416173802	0.317528104097184
Ceramide.d18.1.24.1.	0.515495607234737	0.379750657727777	0.253503676049068	0.0602116885458916	0.292985698299355	0.366049436123094	0.168302645271054	0.0852093022474064	0.30349201890964	0.399001226668348	0.957203360126594	0.0264285956042095	0.378549394387255	0.0393383301707533	0.270780412054925	0.113734615829988	0.964815883756036	0.213972252052161	0.0326737683651337	0.590985030550278	0.621662764193444	0.694582159928185	0.738664601711689	0.869388866189615	0.690591098611324	0.035383484895527	0.166011438092214	0.0313848537776108	0.329774409577598	0.0412962950357318	0.292985698299355	0.352319184310926	0.223025367612496	0.292985698299355	0.321538635814262	0.972665511772609	0.0889263927467332	0.154064887487533	0.0719205234488062	0.0459903588447132	0.315749198753805	0.0413556312954155	0.414471130540948	0.0654951293797842	0.373525671349182	0.311547982522459	0.117011720305989	0.723902481075628	0.095608769196048	0.0338658550625362	0.468921497617997	0.468921497617997	0.12181571868337	0.0324549480415005	0.122619967804322	0.525838369099714	0.0460946681468944	0.229432398061763	0.178784174173119	0.0120915275650464	0.066435246853811	0.0161794051444385	0.117011720305989	0.0796602948407329	0.878901804114189	0.404879850536832	0.652379360773876	0.0338658550625362	0.5471034270207	0.149834142794524	0.14110207876092	0.153775018167981	0.0967501818982206	0.0540776614989807	0.207534856334007	0.207534856334007	0.075957773578849	0.035383484895527	0.035383484895527	0.101442104747663	0.0954667504091653	0.408637097506791	0.0954667504091653	0.716473868088125	0.145726020463688	0.22014408815135	0.389896696537826
Cholesteryl.ester.14.0	0.738664601711689	0.435459304444176	0.256659750840728	0.0667626543584231	0.399985607379073	0.571663687577535	0.21985717041018	0.110424289111337	0.492246979230846	0.347956190698778	0.964815883756036	0.0401431723519758	0.405688905559925	0.0321065169593306	0.404879850536832	0.0746843810717991	0.815040020723987	0.236011714362953	0.0912364139498593	0.558593586176166	0.532443226069157	0.972665511772609	0.822569484796	0.988244583643615	0.946032353799535	0.0548825429621496	0.370463443919465	0.0437865437670273	0.384870364079531	0.0602116885458916	0.370463443919465	0.399985607379073	0.181590090398086	0.379750657727777	0.366049436123094	0.972665511772609	0.117858583090227	0.297056826286802	0.117011720305989	0.0591753403418369	0.395466323589107	0.0500027670598407	0.276974008350272	0.0842950153766052	0.192787890006997	0.298749400523033	0.178838832353672	0.753998888092978	0.081119247219017	0.0577197722240827	0.71958904809573	0.71958904809573	0.124997473088145	0.0306343634929225	0.173601119063457	0.961944291840261	0.049382556466086	0.26746177429068	0.325498682819171	0.0540776614989807	0.141636508012182	0.0599950641860528	0.11001908922422	0.0999824724840013	0.799017197849507	0.236011714362953	0.680219161354766	0.063278280365222	0.753998888092978	0.168302645271054	0.20438250850383	0.307576245456635	0.0837856645432731	0.0690249900901543	0.238977829232927	0.238977829232927	0.143005304789708	0.0548825429621496	0.0548825429621496	0.163352855998429	0.156901543301678	0.617867788331228	0.329774409577598	0.761415284154702	0.260102059222713	0.305210204466622	0.624460330223702
Cholesteryl.ester.18.0	0.701908488052841	0.379750657727777	0.253503676049068	0.0967501818982206	0.430136258921747	0.540633560615427	0.166011438092214	0.107976959882122	0.111978237766908	0.395872598095109	0.753998888092978	0.0332204347306373	0.526106525996248	0.0259188760666957	0.604676469035691	0.0923395061677617	0.76917835465706	0.21985717041018	0.0535390271385423	0.761415284154702	0.776261055124757	0.830317539191835	0.917133067831613	0.964815883756036	0.933985090185907	0.0405965390741735	0.357013288297908	0.0678771688502764	0.424836613259938	0.0359521064079937	0.504039218880199	0.445996154026161	0.216728838100742	0.347614003797382	0.424836613259938	0.79984578933952	0.0535390271385423	0.226261723200692	0.0864885463895615	0.05684805681537	0.305210204466622	0.0519778971598915	0.180808965806233	0.0548825429621496	0.176234043446451	0.350921176634646	0.156376648572043	0.964815883756036	0.0621186771895349	0.0688118106345343	0.878901804114189	0.878901804114189	0.120975799074932	0.0455107191579078	0.154717005858022	0.749675121198703	0.0487013970668979	0.300944576394877	0.474068334304233	0.0382955064365932	0.093616207148492	0.0221895242135609	0.0678771688502764	0.0843293956538975	0.969474454450801	0.325498682819171	0.485785133184383	0.0576823402123864	0.604676469035691	0.321538635814262	0.249884331722075	0.60483926030603	0.067169196334438	0.0293500286967889	0.253503676049068	0.253503676049068	0.117011720305989	0.0405965390741735	0.0405965390741735	0.0614518939704435	0.154442936464388	0.73840890884864	0.223025367612496	0.995940461137726	0.241459966342615	0.265778804074757	0.370463443919465
Cholesteryl.ester.18.1	0.79984578933952	0.404879850536832	0.297056826286802	0.0782329199436279	0.509929955165767	0.468316141247478	0.20438250850383	0.13968247381551	0.100283257448801	0.414010045738317	0.86148192403502	0.037808007562841	0.254639080703255	0.0293500286967889	0.399985607379073	0.0852093022474064	0.761415284154702	0.286022485355924	0.0401431723519758	0.534238578402908	0.649518418898765	0.964815883756036	0.753998888092978	0.885204392179007	0.719491653580895	0.0437865437670273	0.329774409577598	0.0614518939704435	0.366049436123094	0.0393383301707533	0.366049436123094	0.564907015199951	0.216728838100742	0.21985717041018	0.485785133184383	0.761415284154702	0.0576823402123864	0.256659750840728	0.0983915718521855	0.0730825502212047	0.200351326851842	0.0642536368485794	0.170859398690638	0.0548825429621496	0.15039022664428	0.334334591581982	0.107976959882122	0.98050368841478	0.0548825429621496	0.0487013970668979	0.75687220744962	0.75687220744962	0.0923395061677617	0.0435272248596481	0.186915170958111	0.652379360773876	0.0656862004754765	0.289665846584458	0.445996154026161	0.028106895481109	0.0583369400819394	0.0236793695605448	0.0413556312954155	0.0548825429621496	0.995940461137726	0.379750657727777	0.521620655694977	0.0425462972732674	0.723902481075628	0.264132989174862	0.246261576626265	0.372218392494859	0.0920481262720375	0.0359521064079937	0.232881095179444	0.232881095179444	0.0704215513259063	0.0437865437670273	0.0437865437670273	0.0569932061876604	0.0996169863053476	0.670102106036536	0.160781780295035	0.838142014092242	0.163352855998429	0.246035970226329	0.248492478163843
Cholesteryl.ester.20.4	0.249884331722075	0.110424289111337	0.081119247219017	0.0576823402123864	0.270780412054925	0.26746177429068	0.201642380410553	0.0405965390741735	0.0586020854460452	0.108561367311021	0.474068334304233	0.0417237993995682	0.390749631545916	0.037808007562841	0.424836613259938	0.15232547781761	0.540633560615427	0.0642536368485794	0.149834142794524	0.497784594934876	0.229985792833039	0.485785133184383	0.430136258921747	0.451563378990094	0.568733483358552	0.0467687243073204	0.163352855998429	0.0576823402123864	0.21075570523756	0.0412962950357318	0.156302719133891	0.128778669725442	0.0557583110412708	0.158182145584639	0.274357122841033	0.404879850536832	0.0986008923175802	0.156302719133891	0.0656862004754765	0.0355347291829338	0.286022485355924	0.0339037918418135	0.119999890528479	0.0408057074045062	0.0456204013396971	0.110520437684885	0.0690249900901543	0.352319184310926	0.0523729306924186	0.0332204347306373	0.420463378193426	0.420463378193426	0.0999824724840013	0.02615651715086	0.0591753403418369	0.575646275326713	0.0332204347306373	0.198958439693773	0.395072130907859	0.0623917993987076	0.0999824724840013	0.075957773578849	0.0548825429621496	0.101442104747663	0.551582407375941	0.122983679248718	0.242604410957684	0.0826097611929177	0.242604410957684	0.0826097611929177	0.075957773578849	0.170779135372108	0.0401431723519758	0.049382556466086	0.130844682163701	0.130844682163701	0.149834142794524	0.0467687243073204	0.0467687243073204	0.0602116885458916	0.0674536245410433	0.236792823844844	0.338848345971627	0.521620655694977	0.110424289111337	0.0824461281369535	0.205063917536705
Cholesteryl.ester.22.5	0.784323551615357	0.329774409577598	0.249884331722075	0.176292319612156	0.79984578933952	0.652379360773876	0.361461651585187	0.22014408815135	0.115104535054547	0.47841947225416	0.86148192403502	0.0586020854460452	0.312226725952823	0.0733567863065714	0.666273842445217	0.154064887487533	0.76917835465706	0.26746177429068	0.0897518716831293	0.558593586176166	0.514091516188471	0.822569484796	0.822569484796	0.822569484796	0.468609096211369	0.0843293956538975	0.590985030550278	0.101442104747663	0.277992318568957	0.0852093022474064	0.242604410957684	0.5471034270207	0.168302645271054	0.128778669725442	0.652379360773876	0.893266189197456	0.081119247219017	0.424836613259938	0.20438250850383	0.0837856645432731	0.147967752659226	0.0824461281369535	0.189690824254192	0.0620741300373644	0.0918723261397954	0.313328951356299	0.0704215513259063	0.901484947225061	0.163075326940506	0.103392342893828	0.418844682803679	0.418844682803679	0.079343719239178	0.0519778971598915	0.30947931319112	0.922377351201708	0.0719205234488062	0.375016553949488	0.604676469035691	0.0733567863065714	0.0642536368485794	0.0473062290630853	0.0523729306924186	0.0746843810717991	0.817453582934791	0.415154838054487	0.300944576394877	0.0954667504091653	0.738664601711689	0.277992318568957	0.236011714362953	0.30080596074559	0.0912364139498593	0.0678771688502764	0.30947931319112	0.30947931319112	0.158182145584639	0.0843293956538975	0.0843293956538975	0.120975799074932	0.0768263097788248	0.698268411215676	0.352319184310926	0.949331845902681	0.130589405054938	0.194284355639137	0.244841496300062
Cholesteryl.ester.22.6	0.242604410957684	0.0843293956538975	0.063278280365222	0.0864885463895615	0.42007193870708	0.260102059222713	0.270780412054925	0.0475918122840869	0.0324549480415005	0.133091163248659	0.424836613259938	0.0408057074045062	0.467284051275795	0.0623917993987076	0.521620655694977	0.256659750840728	0.5471034270207	0.0614518939704435	0.122983679248718	0.552817167943304	0.247376126944627	0.479937309318424	0.479937309318424	0.468316141247478	0.491705779420197	0.035383484895527	0.15232547781761	0.0586020854460452	0.130844682163701	0.0535390271385423	0.110424289111337	0.101442104747663	0.0460946681468944	0.0967501818982206	0.375016553949488	0.357013288297908	0.0927390856444721	0.166011438092214	0.0733567863065714	0.0272602346690084	0.213972252052161	0.0272602346690084	0.10496849570761	0.0405965390741735	0.0324549480415005	0.0896866143520439	0.0338658550625362	0.370463443919465	0.0678771688502764	0.038848620368495	0.218625324393363	0.218625324393363	0.113734615829988	0.0332204347306373	0.0678771688502764	0.584621532600374	0.0264285956042095	0.253503676049068	0.375016553949488	0.0614518939704435	0.0721909932918287	0.0642536368485794	0.0420594171569925	0.120975799074932	0.320263888003356	0.158182145584639	0.166011438092214	0.0852093022474064	0.160781780295035	0.0852093022474064	0.0569932061876604	0.136424166763437	0.0321065169593306	0.063278280365222	0.163352855998429	0.163352855998429	0.145070295266796	0.035383484895527	0.035383484895527	0.0746843810717991	0.0324549480415005	0.236792823844844	0.313328951356299	0.540633560615427	0.0557583110412708	0.0417237993995682	0.153775018167981
Diacylglyceride.16.0_18.1.	0.564907015199951	0.462860785683974	0.474068334304233	0.186915170958111	0.389896696537826	0.404879850536832	0.115104535054547	0.330056309683327	0.176668824119148	0.719750132666454	0.995940461137726	0.300944576394877	0.162681763418192	0.216728838100742	0.289665846584458	0.147400452250716	0.325498682819171	0.558593586176166	0.127245722783882	0.723902481075628	0.878901804114189	0.784323551615357	0.451563378990094	0.784323551615357	0.228146912989779	0.264132989174862	0.20438250850383	0.260102059222713	0.731148248535663	0.117011720305989	0.26746177429068	0.957203360126594	0.457064641290849	0.274357122841033	0.347614003797382	0.988244583643615	0.281247204259004	0.238977829232927	0.289665846584458	0.366222788679096	0.277992318568957	0.452484171763697	0.44610023560032	0.124997473088145	0.383303782094516	0.199733014291172	0.217424206310661	0.957203360126594	0.242278468172231	0.110379852437646	0.428720478348803	0.428720478348803	0.117579198143161	0.479937309318424	0.250354079101693	0.184269624418492	0.424836613259938	0.590985030550278	0.334334591581982	0.0591753403418369	0.0782329199436279	0.100039977809846	0.124008083144767	0.063278280365222	0.604765903364162	0.658991790786334	0.42007193870708	0.0733567863065714	0.491510508872554	0.604676469035691	0.321538635814262	0.124997473088145	0.875164870871105	0.118938115060879	0.479937309318424	0.479937309318424	0.122983679248718	0.264132989174862	0.264132989174862	0.156302719133891	0.198958439693773	0.260102059222713	0.063278280365222	0.701908488052841	0.179572098223269	0.502150782156573	0.0678771688502764
