	M00004	M00006	M00008	M00015	M00020	M00022	M00024	M00040	M00044	M00050	M00053	M00063	M00065	M00079	M00082	M00097	M00118	M00122	M00133	M00157	M00168	M00170	M00171	M00193	M00202	M00210	M00211	M00216	M00222	M00224	M00233	M00236	M00238	M00244	M00256	M00260	M00267	M00269	M00271	M00277	M00283	M00287	M00291	M00295	M00296	M00300	M00342	M00346	M00384	M00390	M00400	M00403	M00432	M00436	M00448	M00453	M00454	M00465	M00474	M00505	M00520	M00524	M00533	M00535	M00549	M00554	M00565	M00572	M00580	M00581	M00582	M00583	M00585	M00628	M00652	M00657	M00664	M00669	M00670	M00701	M00704	M00715	M00728	M00729	M00760	M00766	M00839
Octadecanoylcarnitine	-0.432352941176471	-0.570588235294118	-0.644117647058823	-0.467647058823529	-0.352941176470588	-0.411764705882353	-0.217647058823529	-0.519499772724892	0.519460847603083	-0.495953040816682	-0.497058823529412	0.514705882352941	0.138337049960736	0.517647058823529	-0.305882352941176	0.226470588235294	-0.347058823529412	0.608823529411765	0.267647058823529	-0.352941176470588	-0.507726406770787	-0.282352941176471	-0.435294117647059	0.35	0.331614664466848	0.535294117647059	-0.458823529411765	-0.585294117647059	-0.555882352941176	0.376470588235294	-0.623529411764706	-0.585294117647059	-0.720588235294118	-0.526470588235294	-0.370588235294118	-0.376470588235294	-0.491662122113711	-0.347058823529412	-0.461764705882353	-0.646539729156495	0.452135983715362	-0.613686700357734	-0.273038929451465	-0.457964299839385	-0.515053172444131	-0.674808510390352	-0.751960501916975	-0.367647058823529	-0.464099543334919	-0.51851894139281	0.486009363602833	0.486009363602833	-0.254599038757525	-0.48054219345696	-0.471629745019518	0.301914907692669	-0.635294117647059	0.367647058823529	-0.282352941176471	-0.332352941176471	-0.551876529098681	-0.422755505302099	-0.40176611318384	-0.241176470588235	-0.534216480167524	-0.470588235294118	0.417647058823529	0.379411764705882	-0.376470588235294	-0.597058823529412	-0.682352941176471	-0.291446695762001	-0.658321774334746	0.376470588235294	0.464705882352941	0.464705882352941	-0.429411764705882	0.535294117647059	0.535294117647059	-0.270588235294118	-0.794720596539635	-0.473877979652734	0.141176470588235	-0.467647058823529	-0.635555658833365	-0.706401957246312	-0.466078723991864
Ceramide.d18.1.16.0.	-0.123529411764706	-0.244117647058824	-0.288235294117647	-0.561764705882353	-0.255882352941176	-0.15	-0.382352941176471	-0.400294442439577	0.361234267586052	-0.194260538242736	0.0941176470588235	0.717647058823529	0.311994197783788	0.711764705882353	-0.323529411764706	0.464705882352941	0.0294117647058823	0.3	0.776470588235294	-0.211764705882353	-0.108903635075473	-0.173529411764706	-0.105882352941176	0.0588235294117647	0.0972736349102755	0.655882352941176	-0.423529411764706	-0.579411764705882	-0.129411764705882	0.617647058823529	-0.217647058823529	-0.185294117647059	-0.288235294117647	-0.244117647058824	-0.244117647058824	0.135294117647059	-0.611043340262728	-0.485294117647059	-0.629411764705882	-0.518409987843022	0.328424509343732	-0.526858126446208	-0.175855581680605	-0.482067684041458	-0.137746778676919	-0.255961848768754	-0.421279076375173	-0.00882352941176471	-0.535947589792626	-0.625798722370633	0.19145823414657	0.19145823414657	-0.331125917459209	-0.604553082091014	-0.359617680577382	0.232695392270447	-0.517647058823529	0.376470588235294	-0.329411764705882	-0.811764705882353	-0.590139968449523	-0.790239089416291	-0.454746259977314	-0.497058823529412	0.00735835372131575	-0.129411764705882	0.05	0.729411764705882	-0.0735294117647059	-0.305882352941176	-0.373529411764706	-0.329794945204369	-0.418262603827892	0.661764705882353	0.394117647058824	0.394117647058824	-0.638235294117647	0.655882352941176	0.655882352941176	-0.538235294117647	-0.472052083658881	-0.181015501544367	0.652941176470588	-0.158823529411765	-0.353086477129647	-0.369389356810051	-0.312685726222389
Ceramide.d18.1.24.1.	-0.197058823529412	-0.270588235294118	-0.361764705882353	-0.632352941176471	-0.329411764705882	-0.279411764705882	-0.444117647058824	-0.566593236541313	0.322423974374327	-0.260485721734578	0.0176470588235294	0.776470588235294	0.272259087688683	0.711764705882353	-0.347058823529412	0.520588235294118	0.0147058823529412	0.397058823529412	0.744117647058824	-0.161764705882353	-0.148638745170578	-0.117647058823529	-0.1	0.05	0.119381279208065	0.729411764705882	-0.447058823529412	-0.752941176470588	-0.302941176470588	0.7	-0.329411764705882	-0.288235294117647	-0.388235294117647	-0.329411764705882	-0.308823529411765	-0.0117647058823529	-0.559206758698023	-0.461764705882353	-0.602941176470588	-0.667158308218434	0.313696952870919	-0.684326896082365	-0.25144262994683	-0.608610451102341	-0.275493557353837	-0.316819910713773	-0.51036676636132	-0.105882352941176	-0.545656785259884	-0.718774532551412	0.220913347092197	0.220913347092197	-0.503311394537998	-0.731664242940919	-0.502580447036423	0.192930989793852	-0.679411764705882	0.382352941176471	-0.432352941176471	-0.829411764705882	-0.606328346636418	-0.809658953617448	-0.510669748259313	-0.585294117647059	-0.0456217930721577	-0.255882352941176	0.135294117647059	0.738235294117647	-0.182352941176471	-0.467647058823529	-0.479411764705882	-0.460178993308422	-0.543446833846804	0.652941176470588	0.402941176470588	0.402941176470588	-0.594117647058824	0.729411764705882	0.729411764705882	-0.541176470588235	-0.546743869047944	-0.254599038757525	0.552941176470588	-0.108823529411765	-0.469758530442053	-0.389992747229735	-0.265487880754859
Cholesteryl.ester.14.0	-0.1	-0.238235294117647	-0.358823529411765	-0.614705882352941	-0.258823529411765	-0.170588235294118	-0.391176470588235	-0.520971443469155	0.208978501909286	-0.291390807364104	-0.0147058823529412	0.708823529411765	0.256070709501788	0.75	-0.255882352941176	0.597058823529412	0.0705882352941176	0.376470588235294	0.561764705882353	-0.176470588235294	-0.189845526009946	0.0117647058823529	-0.0676470588235294	-0.00588235294117647	0.0206338013446039	0.65	-0.276470588235294	-0.688235294117647	-0.267647058823529	0.632352941176471	-0.276470588235294	-0.258823529411765	-0.429411764705882	-0.270588235294118	-0.279411764705882	-0.0117647058823529	-0.50894098263528	-0.326470588235294	-0.514705882352941	-0.624448394447276	0.262150505216073	-0.653421810452839	-0.342455606430651	-0.569442451773972	-0.416234831219385	-0.325769625705687	-0.43033884145851	-0.0941176470588235	-0.574784371661657	-0.629374715069893	0.107511162251536	0.107511162251536	-0.498896382305208	-0.739414923480548	-0.436257514143054	-0.0147275564728131	-0.667647058823529	0.35	-0.305882352941176	-0.652941176470588	-0.475349650396998	-0.622929490144789	-0.522443114213418	-0.544117647058823	0.0765268787016838	-0.376470588235294	0.123529411764706	0.623529411764706	-0.0941176470588235	-0.444117647058824	-0.405882352941176	-0.319568745353071	-0.569956435497867	0.608823529411765	0.373529411764706	0.373529411764706	-0.476470588235294	0.65	0.65	-0.45	-0.455619890873287	-0.150110415914841	0.302941176470588	-0.0911764705882353	-0.356156794322079	-0.320824222249367	-0.147493267086033
Cholesteryl.ester.18.0	-0.114705882352941	-0.270588235294118	-0.361764705882353	-0.55	-0.241176470588235	-0.185294117647059	-0.447058823529412	-0.525386455701945	0.519460847603083	-0.261957392478841	0.0941176470588235	0.741176470588235	0.192788867498473	0.785294117647059	-0.155882352941176	0.558823529411765	0.0882352941176471	0.391176470588235	0.655882352941176	-0.0911764705882353	-0.0853569031672627	-0.0647058823529412	-0.0323529411764706	-0.0147058823529412	0.0250553302041619	0.705882352941176	-0.285294117647059	-0.611764705882353	-0.244117647058824	0.726470588235294	-0.202941176470588	-0.232352941176471	-0.394117647058824	-0.291176470588235	-0.244117647058824	0.0764705882352941	-0.644030255803903	-0.385294117647059	-0.570588235294118	-0.633284928330964	0.321060731107326	-0.649006798220049	-0.428840804449194	-0.638739681354932	-0.434201802351157	-0.289970765738029	-0.456008175861298	-0.0147058823529412	-0.617504831717591	-0.600766773475807	0.0456554250657207	0.0456554250657207	-0.504783065282261	-0.668108662515967	-0.458365158440844	0.0957291170732852	-0.670588235294118	0.323529411764706	-0.217647058823529	-0.717647058823529	-0.548933187610155	-0.781276075169604	-0.601913334403629	-0.576470588235294	0.0117733659541052	-0.305882352941176	0.211764705882353	0.641176470588235	-0.155882352941176	-0.308823529411765	-0.364705882352941	-0.155949547732299	-0.603829815385338	0.761764705882353	0.361764705882353	0.361764705882353	-0.514705882352941	0.705882352941176	0.705882352941176	-0.629411764705882	-0.458607562288849	-0.100073610609894	0.388235294117647	-0.00294117647058824	-0.371508380284238	-0.351729307878893	-0.277287342121742
Cholesteryl.ester.18.1	-0.0764705882352941	-0.255882352941176	-0.326470588235294	-0.588235294117647	-0.2	-0.220588235294118	-0.405882352941176	-0.478292991885524	0.537373290623879	-0.251655697268999	0.0529411764705882	0.720588235294118	0.360559332344472	0.761764705882353	-0.258823529411765	0.573529411764706	0.0911764705882353	0.335294117647059	0.708823529411765	-0.188235294117647	-0.136865379216473	-0.0147058823529412	-0.0941176470588235	0.0441176470588235	0.107590535582577	0.688235294117647	-0.302941176470588	-0.629411764705882	-0.279411764705882	0.711764705882353	-0.279411764705882	-0.173529411764706	-0.394117647058824	-0.391176470588235	-0.211764705882353	0.0911764705882353	-0.629893006286256	-0.358823529411765	-0.547058823529412	-0.592047770207087	0.409426069944204	-0.610743358869207	-0.439638954201512	-0.638739681354932	-0.464146754237443	-0.300710423728327	-0.525466374833549	0.00882352941176471	-0.638865061745558	-0.657982656663979	0.0927836057787226	0.0927836057787226	-0.551876529098681	-0.677409479163521	-0.42299292756438	0.135493519549881	-0.617647058823529	0.332352941176471	-0.232352941176471	-0.767647058823529	-0.628403407800365	-0.778288403754041	-0.684326896082365	-0.65	-0.00147167074426315	-0.270588235294118	0.194117647058824	0.694117647058824	-0.105882352941176	-0.352941176470588	-0.367647058823529	-0.276107395985053	-0.553756123377773	0.726470588235294	0.379411764705882	0.379411764705882	-0.605882352941176	0.688235294117647	0.688235294117647	-0.644117647058823	-0.539274690509038	-0.128035354750894	0.452941176470588	-0.0617647058823529	-0.448266310095031	-0.367917686065788	-0.365783302373361
Cholesteryl.ester.20.4	-0.364705882352941	-0.526470588235294	-0.582352941176471	-0.641176470588235	-0.347058823529412	-0.35	-0.408823529411765	-0.691685249803681	0.626935505727859	-0.523914784957682	-0.217647058823529	0.697058823529412	0.264900733967367	0.720588235294118	-0.244117647058824	0.464705882352941	-0.185294117647059	0.620588235294118	0.467647058823529	-0.205882352941176	-0.381162722764156	-0.211764705882353	-0.241176470588235	0.229411764705882	0.172439625522761	0.676470588235294	-0.45	-0.641176470588235	-0.4	0.7	-0.458823529411765	-0.497058823529412	-0.647058823529412	-0.455882352941176	-0.344117647058824	-0.255882352941176	-0.540357092674494	-0.458823529411765	-0.617647058823529	-0.712813733284155	0.335788287580139	-0.718175323200417	-0.505970445537179	-0.688452911271707	-0.667772427064192	-0.520873412529423	-0.599454456347468	-0.288235294117647	-0.646632418119364	-0.725926517949934	0.24742294874326	0.24742294874326	-0.538631492400313	-0.768867509531136	-0.624909412150861	0.169366899437351	-0.741176470588235	0.411764705882353	-0.261764705882353	-0.626470588235294	-0.538631492400313	-0.585583597450257	-0.638705103010207	-0.541176470588235	-0.181015501544367	-0.505882352941176	0.370588235294118	0.579411764705882	-0.370588235294118	-0.579411764705882	-0.594117647058824	-0.439726593605826	-0.693667909869497	0.667647058823529	0.494117647058823	0.494117647058823	-0.467647058823529	0.676470588235294	0.676470588235294	-0.632352941176471	-0.603509625943633	-0.375276039787103	0.297058823529412	-0.194117647058824	-0.521953922713392	-0.572479919518366	-0.40413155181573
Cholesteryl.ester.22.5	-0.0823529411764706	-0.302941176470588	-0.364705882352941	-0.435294117647059	-0.0764705882352941	-0.135294117647059	-0.282352941176471	-0.389992747229735	0.513490033262818	-0.216335599406683	-0.0529411764705882	0.638235294117647	0.316409210016577	0.6	-0.129411764705882	0.461764705882353	0.0882352941176471	0.35	0.564705882352941	-0.176470588235294	-0.198675550475525	0.0676470588235294	-0.0676470588235294	0.0676470588235294	0.221076442977899	0.576470588235294	-0.161764705882353	-0.541176470588235	-0.341176470588235	0.573529411764706	-0.370588235294118	-0.182352941176471	-0.444117647058824	-0.497058823529412	-0.135294117647059	0.0411764705882353	-0.574914813717631	-0.244117647058824	-0.405882352941176	-0.569956435497867	0.466863540188176	-0.572479919518366	-0.419585247518636	-0.617649220178118	-0.553981609896303	-0.31502996771539	-0.596434534653022	-0.0382352941176471	-0.448564830587307	-0.532822912189853	0.248895704390542	0.248895704390542	-0.578366602495418	-0.649507029220858	-0.318350077888174	0.0294551129456262	-0.602941176470588	0.273529411764706	-0.155882352941176	-0.6	-0.610743358869207	-0.661769218547102	-0.646063456731523	-0.597058823529412	-0.0691685249803681	-0.25	0.323529411764706	0.552941176470588	-0.1	-0.341176470588235	-0.376470588235294	-0.32468184527872	-0.555228879025054	0.611764705882353	0.317647058823529	0.317647058823529	-0.455882352941176	0.576470588235294	0.576470588235294	-0.508823529411765	-0.584089761742476	-0.116261988796789	0.288235294117647	-0.0205882352941176	-0.491250750789075	-0.415011149882208	-0.368733167715082
Cholesteryl.ester.22.6	-0.370588235294118	-0.576470588235294	-0.623529411764706	-0.570588235294118	-0.247058823529412	-0.355882352941176	-0.347058823529412	-0.660780164174155	0.731424756682502	-0.487123016351103	-0.244117647058824	0.702941176470588	0.222222282383736	0.626470588235294	-0.194117647058824	0.358823529411765	-0.182352941176471	0.629411764705882	0.505882352941176	-0.179411764705882	-0.366446015321525	-0.214705882352941	-0.214705882352941	0.220588235294118	0.209285699352411	0.729411764705882	-0.464705882352941	-0.638235294117647	-0.494117647058823	0.655882352941176	-0.526470588235294	-0.541176470588235	-0.679411764705882	-0.55	-0.273529411764706	-0.285294117647059	-0.551352731188219	-0.447058823529412	-0.6	-0.756996402702594	0.396171269118673	-0.757910433295523	-0.530651930685334	-0.691465834296967	-0.730656826025394	-0.558462215495464	-0.720251324125295	-0.276470588235294	-0.601970118969979	-0.700894569055108	0.391753002176829	0.391753002176829	-0.516556431236366	-0.725463698509217	-0.602801767853071	0.164948632495507	-0.776470588235294	0.361764705882353	-0.273529411764706	-0.629411764705882	-0.59308330993805	-0.610978804482539	-0.681383554593839	-0.508823529411765	-0.310522527039525	-0.455882352941176	0.447058823529412	0.573529411764706	-0.452941176470588	-0.573529411764706	-0.644117647058823	-0.483187942973843	-0.733432312346093	0.623529411764706	0.45	0.45	-0.473529411764706	0.729411764705882	0.729411764705882	-0.597058823529412	-0.73048566110504	-0.375276039787103	0.314705882352941	-0.185294117647059	-0.635555658833365	-0.682855225338102	-0.460178993308422
Diacylglyceride.16.0_18.1.	0.173529411764706	0.223529411764706	0.217647058823529	0.423529411764706	0.264705882352941	0.255882352941176	0.517647058823529	0.303164173318209	-0.432884039669236	0.10743196433121	0.00294117647058824	-0.323529411764706	-0.448859577000261	-0.394117647058824	0.332352941176471	-0.470588235294118	0.305882352941176	-0.176470588235294	-0.5	0.105882352941176	0.0456217930721577	0.0823529411764706	0.229411764705882	-0.0823529411764706	-0.383199167828358	-0.352941176470588	0.405882352941176	0.355882352941176	0.102941176470588	-0.514705882352941	0.35	0.0176470588235294	0.226470588235294	0.344117647058824	0.291176470588235	-0.00588235294117647	0.33929398842352	0.373529411764706	0.332352941176471	0.279823572983449	-0.341679310169264	0.229580636105051	0.232931516085713	0.498638760680383	0.26950456697658	0.409896946629683	0.392589820277939	-0.0176470588235294	0.370891266849245	0.522094934092071	-0.243004681801416	-0.243004681801416	0.50919807751505	0.215468919001669	0.36403920943694	-0.425626382064299	0.244117647058824	-0.161764705882353	0.3	0.635294117647059	0.579838273239681	0.537780854801257	0.500368053049471	0.623529411764706	0.155997098891894	0.132352941176471	-0.247058823529412	-0.6	0.208823529411765	0.155882352941176	0.308823529411765	0.498527242750791	0.047128180713002	-0.511764705882353	-0.214705882352941	-0.214705882352941	0.505882352941176	-0.352941176470588	-0.352941176470588	0.458823529411765	0.410804819639849	0.356144320111682	-0.623529411764706	0.114705882352941	0.42984440694044	0.204562233452578	0.601772529711014
