"Compound","ID","NormInt","Sample.Type","Method","full_name","Class"
"C0","sexGF1",1.150516796,"sexGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF10",1.164947861,"exGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF16",1.003610013,"exGF","FIA","Carnitine","Acylcarnitines"
"C0","sexGF2",0.908797217,"sexGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF11",1.15154332,"exGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF17",1.188637198,"exGF","FIA","Carnitine","Acylcarnitines"
"C0","sexGF3",1.00680068,"sexGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF12",0.928662091,"exGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF18",0.977962715,"exGF","FIA","Carnitine","Acylcarnitines"
"C0","sexGF4",1.043561802,"sexGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF07",0.927148999,"exGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF13",0.883945187,"exGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF19",1.025683118,"exGF","FIA","Carnitine","Acylcarnitines"
"C0","sexGF5",0.967680306,"sexGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF09",1.308651891,"exGF","FIA","Carnitine","Acylcarnitines"
"C0","exGF14",1.329089241,"exGF","FIA","Carnitine","Acylcarnitines"
"C10","sexGF1",0.324923287,"sexGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF10",0.285579578,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF16",0.208769211,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","sexGF2",0.207223093,"sexGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF11",0.309040223,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF17",0.249853716,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","sexGF3",0.19767227,"sexGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF12",0.227035722,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF18",0.220063606,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","sexGF4",0.310149408,"sexGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF07",0.298462827,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF13",0.296077751,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF19",0.227648753,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","sexGF5",0.277845944,"sexGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF09",0.351454871,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","exGF14",0.221469159,"exGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C14","sexGF1",0.059757145,"sexGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF10",0.044664261,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF16",0.052607008,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","sexGF2",0.05587119,"sexGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF11",0.045754751,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF17",0.053793845,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","sexGF3",0.059772628,"sexGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF12",0.049377665,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF18",0.064274347,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","sexGF4",0.067533182,"sexGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF07",0.046019211,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF13",0.063956705,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF19",0.036888918,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","sexGF5",0.056401621,"sexGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF09",0.061293342,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","exGF14",0.056791829,"exGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14:2-OH","sexGF1",0.028455783,"sexGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF10",0.031365919,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF16",NA,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","sexGF2",0.023904382,"sexGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF11",0.025392814,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF17",0.026593134,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","sexGF3",0.027525142,"sexGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF12",0.025560963,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF18",0.025976693,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","sexGF4",0.027989822,"sexGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF07",0.024452757,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF13",NA,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF19",NA,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","sexGF5",NA,"sexGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF09",0.022397318,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C14:2-OH","exGF14",0.028272561,"exGF","FIA","Hydroxytetradecadienylcarnitine","Acylcarnitines"
"C16","sexGF1",0.145394333,"sexGF","FIA","Hexadecanoylcarnitine","Acylcarnitines"
"C16","exGF10",0.117287845,"exGF","FIA","Hexadecanoylcarnitine","Acylcarnitines"
"C16","exGF16",0.130718954,"exGF","FIA","Hexadecanoylcarnitine","Acylcarnitines"
"C16","sexGF2",0.13161555,"sexGF","FIA","Hexadecanoylcarnitine","Acylcarnitines"
"C16","exGF11",0.111776066,"exGF","FIA","Hexadecanoylcarnitine","Acylcarnitines"
"C16","exGF17",0.125931811,"exGF","FIA","Hexadecanoylcarnitine","Acylcarnitines"
"C16","sexGF3",0.154722344,"sexGF","FIA","Hexadecanoylcarnitine","Acylcarnitines"
"C16","exGF12",0.10818726,"exGF","FIA","Hexadecanoylcarnitine","Acylcarnitines"
"C16","exGF18",0.135735921,"exGF","FIA","Hexadecanoylcarnitine","Acylcarnitines"
