"Compound","ID","NormInt","Sample.Type","Method","full_name","Class"
"C0","sGF1",0.902514098,"sGF","FIA","Carnitine","Acylcarnitines"
"C0","GF07",1.178405191,"GF","FIA","Carnitine","Acylcarnitines"
"C0","GF16",1.669825625,"GF","FIA","Carnitine","Acylcarnitines"
"C0","GF21",1.292584282,"GF","FIA","Carnitine","Acylcarnitines"
"C0","sGF2",0.866461968,"sGF","FIA","Carnitine","Acylcarnitines"
"C0","GF08",0.950213569,"GF","FIA","Carnitine","Acylcarnitines"
"C0","GF17",1.430055108,"GF","FIA","Carnitine","Acylcarnitines"
"C0","GF22",0.894940347,"GF","FIA","Carnitine","Acylcarnitines"
"C0","sGF3",1.385872137,"sGF","FIA","Carnitine","Acylcarnitines"
"C0","sGF4",1.212438211,"sGF","FIA","Carnitine","Acylcarnitines"
"C0","GF10",1.161747243,"GF","FIA","Carnitine","Acylcarnitines"
"C0","GF19",0.891917896,"GF","FIA","Carnitine","Acylcarnitines"
"C0","sGF5",1.224369312,"sGF","FIA","Carnitine","Acylcarnitines"
"C0","GF15",1.587249327,"GF","FIA","Carnitine","Acylcarnitines"
"C0","GF20",0.789530806,"GF","FIA","Carnitine","Acylcarnitines"
"C10","sGF1",0.234779586,"sGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","GF07",0.259820813,"GF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","GF16",0.164687443,"GF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","GF21",0.208670045,"GF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","sGF2",0.230892893,"sGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","GF08",0.309668412,"GF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","GF17",0.24804837,"GF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","GF22",0.247756607,"GF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","sGF3",0.214313573,"sGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","sGF4",0.314238301,"sGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","GF10",0.25385547,"GF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","GF19",0.323211781,"GF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","sGF5",0.192848614,"sGF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","GF15",0.321576486,"GF","FIA","Decanoylcarnitine","Acylcarnitines"
"C10","GF20",0.228231583,"GF","FIA","Decanoylcarnitine","Acylcarnitines"
"C14","sGF1",0.077047337,"sGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","GF07",0.08423846,"GF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","GF16",0.052898688,"GF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","GF21",0.072397027,"GF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","sGF2",0.080741751,"sGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","GF08",0.080317931,"GF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","GF17",0.066393171,"GF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","GF22",0.084795131,"GF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","sGF3",0.053239578,"sGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","sGF4",0.067946115,"sGF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
"C14","GF10",0.061928556,"GF","FIA","Tetradecanoylcarnitine","Acylcarnitines"
