Compound,ID,NormInt,Sample.Type,Method,full_name,Class
1-Met-His,exGF10,0.373581509,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,exGF16,0.450560014,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,exGF11,0.452787209,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,exGF17,0.472516693,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,exGF12,0.288214964,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,exGF18,0.487274136,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,exGF07,0.366911756,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,exGF13,0.252967618,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,exGF19,0.248936639,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,exGF09,0.300596853,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,exGF14,0.492914102,exGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,GF07,0.38487946,GF,LC,1-Methylhistidine,Amino acid related
1-Met-His,GF16,0.402301408,GF,LC,1-Methylhistidine,Amino acid related
1-Met-His,GF21,0.435058122,GF,LC,1-Methylhistidine,Amino acid related
1-Met-His,GF08,0.285286406,GF,LC,1-Methylhistidine,Amino acid related
1-Met-His,GF17,0.507316511,GF,LC,1-Methylhistidine,Amino acid related
1-Met-His,GF22,0.341213752,GF,LC,1-Methylhistidine,Amino acid related
1-Met-His,GF10,0.241330308,GF,LC,1-Methylhistidine,Amino acid related
1-Met-His,GF19,0.252922024,GF,LC,1-Methylhistidine,Amino acid related
1-Met-His,GF15,0.463467044,GF,LC,1-Methylhistidine,Amino acid related
1-Met-His,GF20,0.349087996,GF,LC,1-Methylhistidine,Amino acid related
1-Met-His,sexGF1,0.347435364,sexGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,sexGF2,0.290541845,sexGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,sexGF3,0.245540716,sexGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,sexGF4,0.331760992,sexGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,sexGF5,0.353448157,sexGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,sGF1,0.256844253,sGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,sGF2,0.269013659,sGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,sGF3,0.32302251,sGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,sGF4,0.321101938,sGF,LC,1-Methylhistidine,Amino acid related
1-Met-His,sGF5,0.313550855,sGF,LC,1-Methylhistidine,Amino acid related
3-Met-His,exGF10,0.385198955,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,exGF16,0.400459506,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,exGF11,0.412716589,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,exGF17,0.584401918,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,exGF12,0.250198326,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,exGF18,0.670500475,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,exGF07,0.412403841,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,exGF13,0.241830753,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,exGF19,0.331181972,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,exGF09,0.372469519,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,exGF14,0.410769542,exGF,LC,3-Methylhistidine,Amino acid related
3-Met-His,GF07,0.503117013,GF,LC,3-Methylhistidine,Amino acid related
3-Met-His,GF16,0.301829743,GF,LC,3-Methylhistidine,Amino acid related
