Compound,sexGF1,sGF1,GF07,GF16,GF21,exGF10,exGF16,sexGF2,sGF2,GF08,GF17,GF22,exGF11,exGF17,sexGF3,sGF3,GF09,exGF06,exGF12,exGF18,sexGF4,sGF4,GF10,GF19,exGF07,exGF13,exGF19,sexGF5,sGF5,GF15,GF20,exGF09,exGF14,pooled_QC,pooled_QC,pooled_QC,pooled_QC
C0,1.150516796,0.902514098,1.178405191,1.669825625,1.292584282,1.164947861,1.003610013,0.908797217,0.866461968,0.950213569,1.430055108,0.894940347,1.15154332,1.188637198,1.00680068,1.385872137,2.809139483,0.909810428,0.928662091,0.977962715,1.043561802,1.212438211,1.161747243,0.891917896,0.927148999,0.883945187,1.025683118,0.967680306,1.224369312,1.587249327,0.789530806,1.308651891,1.329089241,1.012945962,1.180971203,1.127032318,1.009047855
C10,0.324923287,0.234779586,0.259820813,0.164687443,0.208670045,0.285579578,0.208769211,0.207223093,0.230892893,0.309668412,0.24804837,0.247756607,0.309040223,0.249853716,0.19767227,0.214313573,0.30033321,0.315563924,0.227035722,0.220063606,0.310149408,0.314238301,0.25385547,0.323211781,0.298462827,0.296077751,0.227648753,0.277845944,0.192848614,0.321576486,0.228231583,0.351454871,0.221469159,0.276342383,0.217287008,0.312757202,0.304022917
C12,NA,NA,0.131116471,NA,0.127037392,NA,0.104287744,NA,NA,0.113647469,0.109061687,0.095390289,NA,0.091541512,NA,NA,0.127878563,0.097331342,NA,0.108268805,NA,NA,0.091885345,NA,NA,NA,NA,NA,NA,0.104809619,0.094499573,0.100574535,NA,NA,NA,NA,NA
C14,0.059757145,0.077047337,0.08423846,0.052898688,0.072397027,0.044664261,0.052607008,0.05587119,0.080741751,0.080317931,0.066393171,0.084795131,0.045754751,0.053793845,0.059772628,0.053239578,0.061513516,0.073823655,0.049377665,0.064274347,0.067533182,0.067946115,0.061928556,0.079913862,0.046019211,0.063956705,0.036888918,0.056401621,0.069901508,0.072443908,0.080827811,0.061293342,0.056791829,0.052265607,0.069841098,0.065031676,0.056465566
C14:1,NA,NA,NA,NA,0.042358222,NA,NA,NA,NA,NA,NA,0.04149549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040893579,0.043968006,NA,NA,NA,NA,NA,0.046871371,NA,NA,NA,NA,NA,NA,NA
C14:1-OH,NA,0.081525406,NA,0.07964285,NA,0.095283757,NA,NA,NA,NA,0.114536515,NA,NA,0.087654523,NA,0.084226847,0.113602392,NA,NA,NA,NA,NA,0.043502568,NA,NA,0.090463019,NA,NA,0.087125986,NA,0.095836218,0.081470518,NA,0.074558722,0.104030752,0.090420426,NA
C14:2,NA,0.036765157,NA,0.036767958,0.042615363,NA,NA,NA,0.042798677,NA,NA,0.039821759,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0377066,0.034324516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C14:2-OH,0.028455783,0.021654228,NA,0.024090804,0.025153116,0.031365919,NA,0.023904382,0.025156651,NA,NA,0.026149332,0.025392814,0.026593134,0.027525142,0.030048261,0.032910238,0.028072021,0.025560963,0.025976693,0.027989822,0.02375494,0.014535798,0.027971035,0.024452757,NA,NA,NA,0.023432759,0.024225391,0.030610226,0.022397318,0.028272561,0.021700925,NA,0.027452486,0.030513425
C16,0.145394333,0.219711686,0.176900765,0.113209931,0.174178316,0.117287845,0.130718954,0.13161555,0.227334736,0.200673582,0.143615577,0.229692425,0.111776066,0.125931811,0.154722344,0.211604394,0.129006106,0.155610648,0.10818726,0.135735921,0.158219288,0.191655204,0.214437961,0.157839936,0.096448693,0.151437162,0.096024826,0.127641919,0.172664893,0.168834487,0.194120265,0.146159371,0.137785563,0.128467181,0.14447362,0.143693607,0.162184024
C16-OH,NA,0.03915755,NA,NA,NA,NA,0.034768293,0.033027653,0.035792735,NA,NA,0.042625802,NA,0.034047625,0.031810232,0.038652196,NA,NA,0.030966019,0.036680528,0.036998831,NA,0.02717309,NA,0.038422462,0.034467829,0.040101401,0.036437741,0.045115063,0.03323733,NA,0.042269769,NA,NA,NA,NA,NA
C16:1,0.077149516,0.093405582,0.103647248,0.068292375,0.088035906,0.070327286,0.079807362,0.066903982,0.099701727,0.114104809,0.084431842,0.095489621,0.065735199,0.096137219,0.070725842,0.075535562,0.076739885,0.077579946,0.062125845,0.071615586,0.074937533,0.084037466,0.097767218,0.095461214,0.060681629,0.096139507,0.053213575,0.078513203,0.075572982,0.107190969,0.09526753,0.095357291,0.077663196,0.073450753,0.080208982,0.087660779,0.080395461
C16:1-OH,0.049552312,0.042265617,0.050697359,0.036894308,0.048389359,0.049307325,0.043540223,0.040241401,0.048671646,0.045237774,0.052215619,0.040365178,0.045110989,0.049984811,0.03891561,0.039394667,0.043880317,0.046077179,0.041582325,0.048308435,0.047176948,0.039016615,0.02704497,0.042619149,0.044102706,0.04865905,0.045870758,0.04893347,0.04096065,0.04833465,0.044085649,0.047754827,0.041496028,0.033965003,0.049538453,0.041346708,0.038849567
C16:2-OH,NA,NA,NA,NA,0.02459208,NA,NA,NA,NA,NA,NA,0.024953809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0175175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C18,0.050686322,0.067121956,0.079751993,0.051072722,0.078340403,0.063478978,0.068252056,0.049227695,0.069310486,0.077917772,0.081652893,0.082612529,0.073484601,0.061202864,0.041161702,0.080864528,0.072412915,0.069233458,0.041494149,0.063527181,0.05228415,0.072216393,0.066749162,0.071347097,0.054329805,0.061477386,0.046908263,0.05251403,0.074216408,0.074420295,0.064551335,0.072679489,0.068098229,0.056937901,0.070335099,0.061499039,0.056508775
C18:1,0.136409763,0.17696592,0.196421612,0.075467114,0.196341463,0.097132258,0.118380389,0.127997408,0.19569567,0.189414034,0.119867769,0.235327758,0.117096528,0.119821147,0.142146685,0.152287632,0.130167803,0.145618799,0.09050405,0.12814619,0.138524242,0.149819284,0.225236373,0.185069009,0.079989797,0.166709202,0.079434625,0.12114878,0.143826656,0.168756979,0.173290388,0.14242026,0.118485826,0.130149893,0.146715637,0.148093474,0.132130811
C18:1-OH,NA,0.049197719,0.047333924,NA,0.041171792,NA,0.036352208,NA,0.035886518,NA,NA,0.046441251,0.04695832,0.034891835,0.042320506,0.042052617,0.039361612,NA,0.037061206,0.043673141,0.042582452,0.038731491,0.025937984,0.050131174,0.035607703,0.046221466,0.038219714,0.047989921,0.044426274,0.038093012,0.048393537,0.046923904,0.042069824,NA,NA,NA,NA
C18:2,0.059338781,0.095168634,0.10044287,0.042787375,0.077041357,0.053468378,0.051752135,0.07301793,0.102452288,0.095882566,0.071173554,0.098482141,0.059799761,0.050967925,0.052942881,0.080047973,0.102436402,0.062834404,0.051350135,0.082002069,0.049983747,0.075760756,0.114107909,0.099435383,0.039663308,0.081695732,0.043616021,0.055205589,0.083701281,0.08135338,0.09093087,0.074758093,0.049171052,0.058394004,0.072317743,0.070495502,0.067336364
C2,4.512659951,4.698024905,4.128235038,5.910965432,4.107665471,3.586074808,3.108759887,4.197555067,5.547866279,3.735371729,4.871653644,5.123804723,3.723119122,4.01951357,4.307602427,4.381294725,5.023138321,2.50171718,4.455911564,3.095969414,3.580543204,4.52517216,3.666883569,3.65106098,2.942094542,5.127689583,3.58708391,3.640567261,4.40465418,6.56154495,4.276858037,4.724830003,4.97051165,3.837866659,4.323533614,4.02912301,4.180686769
C3,0.925169659,0.350856409,0.302130259,1.276841125,0.39978519,0.515706653,0.352781311,0.519507187,0.456773564,0.294243338,0.464839332,0.357315696,0.538545938,0.377944029,0.654164306,0.679584734,1.274368712,0.28203724,0.712643678,0.402214681,0.433394898,0.397751014,0.266107234,0.306318348,0.362266174,0.902797418,0.785643129,0.572284975,0.64620257,0.624954573,0.270513757,0.542939043,0.564911002,0.481696717,0.552231876,0.514852097,0.532078305
C3-DC (C4-OH),0.276680079,0.225529394,0.156448042,0.185560612,0.197446148,0.174798896,0.127558691,0.166626404,0.310815754,0.145739065,0.16173242,0.226434371,0.257377144,0.216791355,0.233031161,0.203680764,0.208541542,0.212729707,0.200434345,0.211347264,0.178171534,0.179427307,0.156089886,0.136573512,0.191469081,0.290747003,0.164137123,0.226604405,0.178817224,0.218958207,0.173362552,0.287703288,0.199744851,0.136740675,0.1724481,0.197060458,0.174683837
C3-OH,0.084739655,0.099363246,0.142551729,0.08217832,0.100184975,0.102871235,0.091187695,0.088960019,0.110108523,0.106271996,0.116825228,0.105016938,0.105041289,0.086505957,0.088385269,0.106765764,0.095076288,0.096446392,0.085491816,0.111924748,0.095405749,0.113493917,0.074635898,0.09835966,0.08709639,0.094497387,0.094872546,0.094024106,0.106949266,0.105087826,0.086255174,0.106587107,0.09385821,0.083842448,0.101014791,0.105477676,0.106889184
C3:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059206278,0.068780261,NA,0.061269273
C4,0.385562429,0.15356138,0.327174162,0.680854365,0.819022615,1.112265868,0.245749971,0.32093248,0.272039995,0.430555556,0.459783115,0.463784481,0.495755616,0.259628706,0.32305949,0.234471775,1.005196882,0.603018133,0.30345887,0.662320652,0.237735196,0.223423866,0.519344818,0.559842041,0.895269868,0.451398709,1.704189862,0.30699817,0.235032584,0.471835251,0.304054054,1.906224406,0.375554341,0.483683505,0.535650328,0.553140246,0.53375296
C5,0.111096354,0.096863753,0.122990763,0.403669216,0.119588292,0.108865091,0.098598858,0.113113699,0.134019284,0.085441855,0.166129936,0.155911728,0.117772238,0.109267358,0.086732302,0.144486223,0.534763106,0.084057971,0.11786655,0.09591497,0.101649013,0.135760745,0.124257633,0.103080715,0.097289656,0.129212363,0.163175899,0.091194771,0.189737394,0.26016002,0.127886681,0.226319029,0.118758779,0.107489125,0.136239208,0.133308692,0.16176009
