	Bacteroidales bacterium M10	Bacteroidales bacterium M14	Bacteroidales bacterium M2	Bifidobacterium pseudolongum	Dubosiella newyorkensis	Enterococcus faecium/hirae	Lactobacillus johnsonii
Octadecanoylcarnitine	-0.539974897588374	0.237113659212291	-0.176077994671715	-0.736860893444746	-0.477172829719145	0.424879894228983	-0.478232038191651
Ceramide.d18.1.16.0.	-0.604342766175068	0.284241839925293	-0.430762236964731	-0.436378684847401	-0.326951753696451	0.482616186476127	-0.132842232831014
Ceramide.d18.1.24.1.	-0.740230488746977	0.343152065816545	-0.470065360775382	-0.519426531444657	-0.531664788668553	0.646942556717998	-0.243544093523526
Cholesteryl.ester.14.0	-0.61507074427285	0.223858858386759	-0.336434739819169	-0.427318919764064	-0.453608739362644	0.691355089215801	-0.184503101154187
Cholesteryl.ester.18.0	-0.557854861084678	0.0868925831895973	-0.341151114676448	-0.446948410777961	-0.435935671595268	0.629177543718877	-0.165314778634151
Cholesteryl.ester.18.1	-0.61507074427285	0.210604057561227	-0.400891862868637	-0.528486296527994	-0.418262603827892	0.595127935470561	-0.140222356877182
Cholesteryl.ester.20.4	-0.704470561754369	0.178203433321039	-0.465348985918104	-0.608514221430805	-0.603829815385338	0.735767621713604	-0.408858872157677
Cholesteryl.ester.22.5	-0.511366955994288	0.0589102258912524	-0.345867489533726	-0.614554064819696	-0.346097577111108	0.398232374730301	-0.144650431304882
Cholesteryl.ester.22.6	-0.686590598258066	0.128129741313474	-0.407180362678341	-0.735350932597523	-0.603829815385338	0.67359007621668	-0.512180608804022
Diacylglyceride.16.0_18.1.	0.593614788077286	-0.469809051482738	0.616272981351002	0.380510133500156	0.450663228068081	0.0858642294957526	0.0619930419878067
Diacylglyceride.16.0_18.2.	0.779566408438845	-0.48306385230827	0.595835356969464	0.74441069768086	0.435935671595268	-0.290161878985647	0.27896868894513
Diacylglyceride.16.1_18.2.	0.733078503348455	-0.428571893358861	0.649287605351949	0.741390775986415	0.50515518701749	-0.281279372486086	0.138746332067948
Diacylglyceride.17.0_18.1.	-0.65633992272299	0.565731784080969	-0.539255117496633	-0.446754371408955	-0.542098080307351	0.164811825864466	-0.38490017945975
Diacylglyceride.18.1_18.3.	0.61149475157359	-0.587629503265243	0.705884103639285	0.374470290111265	0.515464476548459	-0.122874673243922	0.0309965209939033
Diacylglyceride.18.2_18.2.	0.575734824580982	-0.59499328150165	0.372593613724968	0.578315004486348	0.141384542139006	-0.103629242494874	-0.0487088187047052
Lysophosphatidylcholine.a.C18.0	-0.629374715069893	0.066274004127659	-0.539238858682127	-0.619083947361365	-0.544919589494085	0.415997387729422	-0.377862351163774
Lysophosphatidylcholine.a.C18.2	0.554278868385418	-0.48306385230827	0.479498110489938	0.249143539791769	0.313696952870919	-0.15100261049253	0.183027076344953
Lysophosphatidylcholine.a.C24.0	0.532822912189853	-0.734905067993374	0.528233984015145	0.507346844666874	0.240059170506854	0.00592167099970708	-0.0398526698493043
Lysophosphatidylcholine.a.C26.0	0.768838430341063	-0.673049330807559	0.75147572725964	0.788199562250323	0.611193593621744	-0.371584855231619	0.177122977108019
Lysophosphatidylcholine.a.C28.0	0.675862620160283	-0.804124583415596	0.63671060573254	0.63267359498637	0.413844336886048	-0.219101826989162	0.147602480923349
Lysophosphatidylcholine.a.C28.1	0.679438612859544	-0.680413109043966	0.606840231636446	0.831988426819785	0.53902856690496	-0.285720625735866	0.240592043905059
Phosphatidylcholine.aa.C24.0	0.640102693167676	-0.671576575160278	0.551815858301535	0.7338409717503	0.425626382064299	-0.38934986823074	0.239116019095826
Phosphatidylcholine.aa.C26.0	0.783142401138106	-0.677467597749403	0.716888978306268	0.736860893444746	0.493373141839239	-0.347898171232791	0.143174406495649
Phosphatidylcholine.aa.C28.1	0.768838430341063	-0.746687113171625	0.782918226308161	0.732331010903078	0.599411548443494	-0.273877283736452	0.276016639326663
Phosphatidylcholine.aa.C32.0	-0.761686444942541	0.293078373808981	-0.36001661410556	-0.659852890236381	-0.549337856435929	0.614373366219609	-0.512180608804022
Phosphatidylcholine.aa.C36.0	-0.640102693167676	0.0780560493059095	-0.355300239248282	-0.668912655319718	-0.546392345141366	0.666187987467046	-0.609598246213432
Phosphatidylcholine.aa.C36.1	-0.618646736972111	0.138439030844443	-0.262544867055146	-0.682502302944724	-0.48306385230827	0.726885115214044	-0.509228559185555
Phosphatidylcholine.aa.C36.2	-0.725926517949934	0.203240279324821	-0.435478611822009	-0.631163634139147	-0.671576575160278	0.775738900961627	-0.6214064446873
Phosphatidylcholine.aa.C38.1	-0.483114376255022	0.0825350260949495	-0.250938511409093	-0.707937390639556	-0.311717107483604	0.29185697640891	-0.54062274315578
Phosphatidylcholine.aa.C38.4	-0.815326335431453	0.462445273246332	-0.562820732968517	-0.551135709236337	-0.670103819512996	0.615853783969536	-0.352769929406805
Phosphatidylcholine.aa.C40.2	0.690166590957326	-0.586156747617962	0.781346101355735	0.392589820277939	0.444772205478956	-0.139159268493116	0.0723252156524411
Phosphatidylcholine.aa.C40.3	0.761686444942541	-0.458027006304488	0.825365600023663	0.456008175861298	0.536083055610397	-0.193934725240407	0.128414158403314
Phosphatidylcholine.aa.C40.5	-0.61149475157359	0.19145823414657	-0.327001990104613	-0.539056022458554	-0.294551129456262	0.395271539230447	-0.137270307258715
Phosphatidylcholine.aa.C40.6	-0.790294386536627	0.238586414859572	-0.479498110489938	-0.670422616166941	-0.675994842102122	0.658785898717412	-0.634690667970402
Phosphatidylcholine.aa.C42.2	0.586462802678764	-0.681885864691247	0.622561481160706	0.498287079583537	0.212076813208509	-0.10066840699502	0.0221403721385024
Phosphatidylcholine.aa.C42.5	0.593614788077286	-0.673049330807559	0.71217260344899	0.477147627722418	0.410898825591486	-0.0695796342465582	-0.107749811074045
Phosphatidylcholine.aa.C42.6	0.668710634761762	-0.375552690056734	0.721605353163546	0.39862966366683	0.475700074071863	-0.217621409239235	0.0398526698493043
Phosphatidylcholine.ae.C30.0	0.640102693167676	-0.698086176811341	0.481070235442364	0.697601911416952	0.313696952870919	-0.321250651734109	0.175646952298786
Phosphatidylcholine.ae.C30.1	0.793870379235888	-0.614139104916307	0.73575447773538	0.824438622583671	0.574374702439711	-0.270916448236599	0.281920738563597
Phosphatidylcholine.ae.C32.1	0.532822912189853	-0.670103819512996	0.548671608396683	0.53150621822244	0.182621700262883	-0.0725404697464117	-0.0265684465662029
Phosphatidylcholine.ae.C32.2	0.786718393837367	-0.687776887280372	0.765624851831474	0.650793125153044	0.486009363602833	-0.290161878985647	0.104797761455578
Phosphatidylcholine.ae.C34.0	-0.590038795378025	0.153166587317256	-0.295559491056093	-0.427318919764064	-0.284241839925293	0.458929502477298	-0.256828316806628
Phosphatidylcholine.ae.C36.2	-0.529246919490592	-0.019145823414657	-0.213808993529939	-0.492247236194646	-0.478645585366426	0.746130545963092	-0.461995765290083
Phosphatidylcholine.ae.C36.5	-0.61149475157359	0.189985478499289	-0.256256367245442	-0.529996257375217	-0.683358620338528	0.741689292713311	-0.649450916062737
Phosphatidylcholine.ae.C38.4	-0.686590598258066	0.409426069944204	-0.495219360014198	-0.345781034014031	-0.497791408781083	0.429321147478763	-0.261256391234328
Phosphatidylcholine.ae.C38.5	-0.722350525250673	0.362297889231202	-0.386742738296802	-0.498287079583537	-0.643594217861933	0.718002608714483	-0.457567690862383
Phosphatidylcholine.ae.C40.1	-0.582886809979503	0.19145823414657	-0.289270991246389	-0.69609195056973	-0.349043088405671	0.232425586738503	-0.273064589708196
Phosphatidylcholine.ae.C40.5	-0.679438612859544	0.217967835797634	-0.393031238106506	-0.579824965333571	-0.421208115122455	0.467812008976859	-0.270112540089729
Phosphatidylcholine.ae.C40.6	-0.547126882986896	0.0441826694184393	-0.39145911315408	-0.445438449930738	-0.463918028893613	0.263514359486965	-0.473803963763951
Phosphatidylcholine.ae.C42.0	0.683014605558805	-0.447717716773519	0.779773976403309	0.448458371625184	0.580265725028837	-0.281279372486086	0.247972167951227
Hexosylceramide.d18.1.16.0.	-0.750958466844759	0.399116780413235	-0.591118982112186	-0.516406609750211	-0.512518965253896	0.538872060973344	-0.169742853061852
