	Bacteroidales bacterium M10	Bacteroidales bacterium M14	Bacteroidales bacterium M2	Bifidobacterium pseudolongum	Dubosiella newyorkensis	Enterococcus faecium/hirae	Lactobacillus johnsonii
Octadecanoylcarnitine	0.0723273131142644	0.438791348626591	0.560028598134749	0.0121837525487882	0.116562995747951	0.164606559112396	0.115993287284998
Ceramide.d18.1.16.0.	0.0407006703395922	0.349303153143764	0.159569390202852	0.153889034026632	0.283551976201836	0.113458190151381	0.655986300399926
Ceramide.d18.1.24.1.	0.0121837525487882	0.259242185905998	0.122647387414157	0.0855210672837307	0.076902789696272	0.0277913146334258	0.426593853082263
Cholesteryl.ester.14.0	0.0383843686334704	0.467945554098224	0.26844733649733	0.162512780667448	0.137868578986524	0.0197708279464427	0.543160086018339
Cholesteryl.ester.18.0	0.0627153455802559	0.774581200361417	0.261849000981303	0.14404383725578	0.153953320756924	0.0334470627886715	0.583562341977017
Cholesteryl.ester.18.1	0.0383843686334704	0.490101473982107	0.189962739006942	0.0787179923052291	0.171999295563265	0.0449867966983583	0.64140992497659
Cholesteryl.ester.20.4	0.016816656284335	0.556519784959337	0.126971776693672	0.0396658648671443	0.0407006703395922	0.0121837525487882	0.181218762991638
Cholesteryl.ester.22.5	0.0900487600131076	0.84280799898826	0.256226170551549	0.0383843686334704	0.256226170551549	0.192435458923782	0.631368078742694
Cholesteryl.ester.22.6	0.0205476785190979	0.666108896901712	0.182179721126265	0.0121837525487882	0.0407006703395922	0.0230204658008785	0.0896402962024117
Diacylglyceride.16.0_18.1.	0.0453787250089123	0.122716630397279	0.0381273042924946	0.211940397408523	0.140795404876413	0.775852187918266	0.834715600402411
Diacylglyceride.16.0_18.2.	0.0104659533563425	0.113173376106303	0.0448378675424562	0.0121837525487882	0.153953320756924	0.340706852610284	0.358473920283783
Diacylglyceride.16.1_18.2.	0.0121837525487882	0.1612822118749	0.0273158452892133	0.0121837525487882	0.0955566492074028	0.354354847332883	0.643309022624654
Diacylglyceride.17.0_18.1.	0.0260779779008617	0.058908846729515	0.072386028231706	0.14404383725578	0.0712115964509299	0.58356817547368	0.206954715766744
Diacylglyceride.18.1_18.3.	0.0388576682603502	0.0480131681891618	0.016816656284335	0.219440632543095	0.0879958999405341	0.679260115222151	0.917095198099263
Diacylglyceride.18.2_18.2.	0.0526974209047655	0.0449867966983583	0.221298356968872	0.0517964258912134	0.638925675208398	0.729747699348589	0.870828525293159
