ID,treatment,microbiome,1-Methylhistidine,3-Methylhistidine,Acetylcarnitine,Alanine,alpha-Aminoadipic acid,Alpha-Aminobutyric acid,Arachidonic acid,Arginine,Asparagine,Aspartic Acid,Asymmetric dimethylarginine,Betaine,Butyrylcarnitine,Carnitine,Carnosine,Ceramide(d18:1/16:0),Choline,Citrulline,Cysteine,Cystine,Decanoylcarnitine,Diacylglyceride(16:0_18:2),Diacylglyceride(16:1_18:2),Diacylglyceride(18:1_18:1),Diacylglyceride(18:1_18:2),Diacylglyceride(18:2_18:2),Diacylglyceride(18:2_18:3),Diacylglyceride(18:2_20:4),Docosahexaenoic acid,Eicosadienoic acid,Eicosapentaenoic acid,Eicosatrienoic acid,Eicosenoic acid,Glutamic Acid,Glutamine,Glycine,Hexadecanoylcarnitine,Hexanoylcarnitine (Fumarylcarnitine),Hexose,Histamine,Histidine,Homoarginine,Hypoxanthine,Indoxyl sulfate,Isoleucine,Kynurenine,L-Anserine,Lactic acid,Leucine,Lysine,Lysophosphatidylcholine a C16:0,Lysophosphatidylcholine a C16:1,Lysophosphatidylcholine a C18:0,Lysophosphatidylcholine a C18:1,Lysophosphatidylcholine a C18:2,Lysophosphatidylcholine a C20:4,Lysophosphatidylcholine a C24:0,Malonylcarnitine (Hydroxybutyrylcarnitine),Methionine,Methionine-Sulfoxide,Octadecadienoate,Octadecadienylcarnitine,Octadecanoylcarnitine,Octadecenoylcarnitine,Ornithine,Phenylalanine,Phosphatidylcholine aa C30:0,Phosphatidylcholine aa C32:0,Phosphatidylcholine aa C32:1,Phosphatidylcholine aa C34:1,Phosphatidylcholine aa C34:2,Phosphatidylcholine aa C34:3,Phosphatidylcholine aa C34:4,Phosphatidylcholine aa C36:1,Phosphatidylcholine aa C36:2,Phosphatidylcholine aa C36:4,Phosphatidylcholine aa C38:4,Phosphatidylcholine aa C38:6,Phosphatidylcholine aa C40:6,Proline,Proline betaine,Propionylcarnitine,Putrescine,Sarcosine,Serine,Serotonin,Spermidine,Sphingomyelin C16:0,Sphingomyelin C18:0,Sphingomyelin C18:1,Sphingomyelin C24:1,Succinic acid,Taurine,Tauro-muricholic acids,Taurocholic acid,Tetradecanoylcarnitine,Threonine,trans-4-Hydroxyproline,Trigonelline,Trimethylamine N-oxide,Tryptophan,Tyrosine,Valerylcarnitine,Valine,Xanthine
JHOP-05697,Sham,COL,1.1346,0.5626,0.9793,0.7287,0.5988,1.1722,1.8133,1.0864,1.0413,1.0325,1.3914,1.0022,0.6194,0.9234,1.2705,1.3693,0.8369,1.1459,1.0428,0.3852,1.1023,1.6302,1.5872,2.5059,2.2828,1.4836,0.904,0.9191,1.8156,2.0257,2.4036,2.2821,1.002,0.8666,0.9333,0.7712,1.1047,0.9927,1.2499,0.5957,0.9817,1.7099,0.6566,3.7099,0.7149,1.4571,0.5394,0.6353,0.6585,1.0905,1.3552,1.4645,1.6863,1.8473,1.6266,1.8569,0.9935,0.6038,1.0347,0.9322,1.6696,1.0169,1.2565,1.3358,0.9246,0.8697,1.3499,1.1859,1.2017,1.5533,1.099,0.9732,0.8992,1.8956,1.481,1.1476,1.5386,1.1415,1.5448,1.001,2.1862,0.7174,1.1232,0.4915,0.8955,0.5762,0.6109,1.2755,1.5796,1.564,1.1789,0.59,0.9396,0.1181,0.1296,1.0742,0.8879,1.0822,2.0321,18.6311,1.0008,1.336,0.9989,0.5729,0.328
JHOP-05698,Sham,COL,0.9456,0.4937,0.8914,1.3441,0.9802,1.1266,2.0853,1.1839,1.0027,1.6182,0.9,1.2419,1.3444,1.1777,1.2727,1.402,1.1924,1.1597,1.3907,0.7591,1.054,2.9603,4.1427,2.5928,3.0846,2.1928,2.7792,0.9187,2.2221,3.1933,2.4738,3.2231,3.0657,1.5856,1.0516,1.1152,0.9363,1.0586,1.2469,1.063,1.0564,0.8282,12.7522,2.7926,0.9707,0.6907,1.4611,1.3731,0.9528,1.0208,1.6037,2.0949,1.3563,1.6776,1.4835,1.3872,1.5568,1.4142,1.3553,1.634,1.9093,0.7577,1.0667,0.909,1.4534,0.9535,1.7053,1.5068,2.3289,1.9498,1.7181,1.7513,1.9868,1.6499,1.4918,1.6644,1.1397,1.3008,1.1049,1.2466,1.8706,1.3716,1.0226,0.8745,1.2267,2.3927,1.1644,0.9013,0.8397,0.8542,1.0014,1.2931,1.5523,0.1663,0.2354,0.9718,1.1492,1.349,1.6831,5.3239,0.8269,1.1061,1.0011,0.9301,7.7179
JHOP-05699,Sham,COL,0.4954,1.651,0.8458,0.847,1.4228,0.867,1.1101,0.4809,0.9383,0.3649,0.6273,0.9497,0.9243,0.8514,1.3263,0.4642,0.8153,0.8426,1.3909,2.4952,1.0241,0.6067,0.2757,0.1914,0.9533,0.8565,0.6875,1.254,0.9706,1.8925,1.155,1.5233,2.263,0.5022,0.7827,0.5626,1.1953,0.8245,1.5143,0.063,1.331,0.5846,0.6162,0.6961,0.873,1.1389,2.0186,0.6436,0.987,0.8629,1.09,1.4075,0.9372,1.2727,0.9154,1.1422,1.3577,0.862,0.8063,0.6509,1.5422,1.3611,1.1272,1.3515,1.1575,1.1923,1.2165,1.0751,1.7131,1.4642,1.2885,1.1279,1.0296,1.1281,1.0395,1.1422,1.1515,1.3709,1.1431,0.8066,0.8503,0.6785,0.4584,0.8272,0.7422,0.0242,0.5216,1.0652,0.9034,1.0994,1.0563,0.7314,0.92,0.8603,1.1013,1.7112,0.7819,0.8041,0.5034,1,0.8096,0.9997,0.5844,0.9001,0.0619
JHOP-05700,Sham,COL,1,0.5086,1.1892,1.5217,0.9865,1.19,0.7879,1.117,1.3576,2.3498,1.04,1.5374,0.9765,1.2543,1.7169,1.0151,1.8478,0.9994,1.4587,1.4496,1.1065,0.3067,0.2757,0.9791,0.4156,0.4072,0.9521,0.4393,0.5246,0.9041,0.7799,0.7548,0.9341,1.9991,1.1144,1.4867,1.147,1.3743,1.6012,0.9838,1.1531,0.6905,28.6654,0.9404,1.157,0.7558,2.5361,1.834,1.1394,0.9306,1.8423,1.8658,1.7187,1.9161,1.8277,1.6841,1.4562,2.5356,1.0418,1.1268,0.6994,1.0991,1.2628,1.0689,1.2604,1.1317,2.1088,2.1393,2.5883,2.2832,1.9917,1.744,1.4211,1.4796,1.6819,1.741,1.681,1.9647,1.7431,1.9473,1.1448,1.1253,1.2676,0.4915,1.6812,5.1112,0.5216,1.5365,1.514,1.8494,1.1565,2.0218,2.0709,0.4248,0.2958,1.0642,0.7475,1.2361,0.9669,1.3752,0.824,0.9317,0.8146,0.8942,11.9501
JHOP-05701,Sham,COL,0.6376,1.194,0.9462,0.9434,1.3206,1.3863,1.4053,1.127,0.9973,1.0764,1.3002,1.162,0.78,1.1317,1.2266,1.0607,1.014,1.082,0.6156,1.4266,0.9759,1.589,0.5845,1.049,1.6344,1.7065,1.4565,1.1022,1.5515,1.4729,1.4091,1.4567,1.1575,0.8801,1.0669,0.9001,0.8973,0.9066,0.988,1.435,1.1956,2.0168,1.3441,1.2588,1.0022,1.4595,0.5983,0.8023,0.9282,1.3232,1.1038,0.8947,1.3523,1.1864,1.1272,1.3201,1.1799,0.655,1.1412,0.7392,1.0915,1.1185,1.1006,1.0786,1.1429,0.9945,1.0364,1.0207,0.8068,0.9302,1.0147,0.7567,1.0087,1.1772,1.0182,1.0074,1.1904,1.1109,1.143,0.999,0.9897,0.912,1.7542,0.7262,1.0009,2.5169,0.9932,1.1542,1.3001,1.2554,1.2181,0.5456,0.8626,0.4625,0.6914,0.9828,1.0502,1.0297,0.8846,5.0307,1.1565,0.9134,1.2274,0.8706,1.5124
JHOP-05702,Sham,COL,1.2507,0.6161,0.9254,1.0043,1.1345,1.2058,0.9742,0.943,1.0433,0.9349,1.3679,0.952,1.1061,1.0341,1.2445,1.1699,0.758,0.8504,0.7425,1.207,0.6925,1.0073,0.5058,0.1914,1.044,0.9625,1.1128,1.0404,1.0915,0.8844,1.0356,0.9164,0.6463,0.8495,1.0524,0.7789,1.0346,0.7665,1.1845,0.8824,0.8405,2.0252,0.0905,1,0.7779,1.8377,0.5703,0.8658,0.8154,1.0285,1.0469,0.8132,1.3495,1.0487,1.1376,1.3213,0.9421,0.7878,1.122,0.7436,0.7012,1.0022,1.4193,1.099,1.0169,0.9519,0.9989,1.1419,0.791,1.0233,0.9842,0.9294,0.8296,1.1711,1.1308,0.8953,1.2115,0.9856,1.1647,1.0401,1.027,0.9033,0.9359,0.5682,0.9086,0.8324,0.8769,1.1063,1.6523,1.1624,1.2748,0.8085,0.9354,1.1065,1.364,0.9541,0.8717,0.8469,0.8587,3.3906,1.0665,0.895,1.1198,0.7376,0.0619
JHOP-05703,AngII,COL,2.0099,1.1716,0.6927,0.9692,0.5782,0.8409,1.4038,0.8329,0.9879,0.9386,0.8224,1.2033,0.2138,1.0327,0.6611,0.5804,1.0989,0.9182,0.7857,0.6077,0.9141,0.7259,0.3166,0.1914,0.7553,0.4716,0.5959,0.9596,1.3405,1.6356,1.2281,1.426,0.998,0.7578,1.1106,1.0253,0.9811,0.6773,0.7068,0.5202,0.9425,1.2293,0.9676,1.2001,0.6912,0.7659,0.9483,0.7627,0.8677,0.9227,1.3181,1.2071,1.2659,1.2104,1.2185,1.2804,1.5897,0.662,0.9277,0.604,1.3192,0.8419,0.9905,0.8032,0.6997,0.9054,0.8968,1.0411,1.0539,1.4,1.1225,1.009,1.5707,1.2489,1.0527,1.0606,1.1349,1.3278,1.2162,0.8297,0.6068,0.6334,0.9774,0.4915,1.0853,0.2496,1.4321,1.0009,0.9633,0.9373,1.55,0.4967,1.0305,0.0635,0.1246,0.7306,0.8382,0.907,0.3505,1.2679,0.7228,0.7982,0.3004,0.7688,0.9741
JHOP-05704,AngII,COL,0.9906,1.5642,1.0085,1.2323,1.7566,0.7803,0.7916,0.8595,1.0092,0.9298,0.963,0.9978,2.0288,0.9153,1.3127,1.1556,1.1399,0.8353,1.0465,0.6337,0.8624,1.7837,0.2757,1.0209,1.8592,1.656,1.3005,1.5236,0.7742,0.8192,0.6079,0.7843,1.3525,1.1095,1.0826,0.8902,1.0189,0.8537,1.1199,0.5807,1.1269,1.0022,1.5521,1.3358,0.9526,0.9389,1.938,1.3657,1.2013,0.8982,1.0296,1.1782,0.931,1.057,1.0011,0.9578,1.3633,1.1406,0.8135,0.6838,0.6009,0.8973,1.0095,0.9659,0.9583,1.1943,1.3088,1.2754,1.3445,1.3725,1.0931,0.9465,1.1308,1.0079,0.9793,0.9445,0.9564,1.2137,0.9681,0.9859,1.2097,1.088,0.6926,1.4202,1.0124,0.901,0.9883,0.9991,0.8807,0.932,1.0952,1.3189,1.0617,0.1648,0.9236,1.0041,1.0134,0.7407,0.6868,2.1982,0.9236,1.0003,0.8691,1.1391,2.0662
JHOP-05705,AngII,COL,1.2752,0.8117,0.9915,1.1883,1.0656,0.7179,1.2007,0.8765,0.9819,1.1198,1.0384,1.0879,0.8995,0.8073,1.2323,0.8856,1.0024,0.8818,1.0726,1.3638,1.2006,1.0107,0.7171,0.7185,0.9075,0.7405,0.5829,1.0569,1.2565,1.4944,1.0963,1.2993,1.0486,1.2821,1.0836,0.9981,1.1892,0.9156,1.1204,0.5696,0.9792,0.9978,1.8658,1.2897,1.0165,0.9531,1.4228,1.1565,0.9093,0.9594,1.1547,1.3449,1.0796,1.2036,0.9989,0.9075,1.3956,1.1553,1.0023,0.8013,1.0216,1.1982,1.0304,0.9009,0.932,1.027,1.196,0.9915,1.6394,1.3988,1.0596,1.0635,1.2127,1.125,0.9979,0.9593,0.9325,1.2439,1.0028,0.9982,1.186,0.7671,1.107,0.9191,1.0105,2.7673,1.5295,0.9219,0.8268,0.8683,1.1659,1.0287,1.2313,0.184,0.2639,1.1196,0.9025,0.7151,0.7628,1.836,0.8209,0.8336,0.5083,0.9125,2.6932
JHOP-05706,AngII,COL,0.7873,1.041,1.1361,1.3557,2.209,1.7221,1.685,0.8534,0.9279,1.1798,0.9506,1.6226,4.7462,0.9893,0.9528,1.0308,1.8435,1.0209,1.4109,1.5997,2.1214,0.7827,0.2757,0.4649,0.5151,0.6568,0.8567,0.869,1.4795,2.1365,1.3971,1.7073,4.5884,1.0878,1.2281,0.8897,1.2998,1.3175,0.8963,1.1575,0.9858,1.804,14.3931,2.3579,1.1667,1.0113,1.0517,1.1603,1.2507,1.0678,1.0125,0.8574,1.11,0.8706,0.8261,1.136,1.0602,2.0072,1.0933,0.5163,1.6893,1.3213,1.3853,1.3364,1.2649,1.162,1.0207,0.9098,0.7972,0.8197,0.8187,0.8564,0.8662,0.9418,0.8425,0.6609,1.0673,0.9545,1.0916,1.0552,0.5285,3.5577,1.1916,1.712,0.9121,0.666,1.7243,1.2351,1.4318,1.3332,0.9997,2.3638,1.3266,0.6402,0.6827,1.4672,1.0267,0.5938,0.45,4.9713,0.81,1.1229,1.7984,1.151,10.9532
