Rarefied	D1	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D2	D20	D21	D22	D23	D24	D25	D26	D27	D3	D4	D5	D6	D7	D8	D9
Adlercreutzia	1	1	0	1	0	0	0	1	3	1	2	0	0	0	0	0	1	1	0	0	1	1	1	2	1	1	0
Akkermansia	41	2	11	196	5	3	8	304	218	227	180	55	0	335	207	51	86	25	11	35	22	12	34	4	130	1	6
Alistipes	14	24	18	9	11	9	8	7	12	3	5	8	5	0	0	3	4	4	4	6	3	7	8	31	18	8	11
Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0
Anaerotruncus	5	7	0	2	0	0	0	6	55	0	0	6	1	0	52	0	0	1	0	0	3	2	5	11	4	2	2
Arabia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteroidaceae gen. incertae sedis	4	4	0	0	2	3	1	5	8	0	0	3	0	0	0	2	2	2	3	4	3	2	0	0	0	1	9
Bacteroidales gen. incertae sedis	0	0	329	311	0	0	0	0	0	204	261	0	0	0	0	0	0	0	0	0	0	0	0	409	424	0	0
Bacteroides	47	38	0	0	32	31	38	74	147	10	6	29	0	0	0	60	27	25	53	44	32	56	33	0	0	50	36
Bifidobacterium	111	0	4	2	0	0	0	15	1	0	0	121	0	65	20	164	138	184	202	170	186	103	162	1	2	0	0
Blautia	0	0	10	10	0	0	0	0	0	0	0	0	669	215	450	0	0	0	0	0	0	0	0	4	9	0	0
Burkholderiales gen. incertae sedis	0	0	0	0	0	0	0	63	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiaceae gen. incertae sedis	0	2	0	0	1	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2
Clostridiales gen. [Clostridium/Flavonifractor]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Clostridiales gen. incertae sedis	12	4	4	7	3	1	3	7	8	0	2	0	21	22	30	1	0	2	0	0	0	7	2	13	9	13	5
Clostridioides	0	0	0	0	0	0	0	0	0	0	0	0	3	0	15	0	0	0	0	0	0	0	0	1	0	0	0
Clostridium	2	1	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	1	0	0	2	3	2	2	2	6	5
Coriobacteriaceae gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cutibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Dorea	3	30	0	0	5	3	6	16	9	0	0	2	0	0	0	0	2	3	0	3	1	1	5	0	0	18	4
Dubosiella	79	9	62	83	17	9	9	9	2	28	14	114	0	0	0	107	124	136	136	151	121	83	127	44	53	8	7
Eggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Enterococcus	3	5	22	3	11	5	8	25	5	18	9	0	34	28	18	4	0	2	5	0	0	2	2	9	3	7	5
Enterorhabdus	10	42	0	0	36	30	19	13	25	17	8	10	0	0	0	4	18	8	3	5	19	18	8	0	0	33	49
Erysipelatoclostridium	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	0	0
Faecalibaculum	1	2	1	0	4	3	2	0	0	0	0	2	0	0	0	1	2	3	3	3	2	2	0	1	0	2	0
