id,treatment,microbiome,value,shortform_biocrates,MATCH_NAME 
exGF06,AngII,COL,0.717,3-IAA,indoleacetate
exGF07,AngII,COL,1.03,3-IAA,indoleacetate
exGF09,AngII,COL,0.807,3-IAA,indoleacetate
exGF10,AngII,COL,0.605,3-IAA,indoleacetate
exGF11,AngII,COL,0.456,3-IAA,indoleacetate
exGF12,AngII,COL,0.356,3-IAA,indoleacetate
exGF13,AngII,COL,0.386,3-IAA,indoleacetate
exGF14,AngII,COL,0.683,3-IAA,indoleacetate
exGF16,AngII,COL,0.497,3-IAA,indoleacetate
exGF17,AngII,COL,0.656,3-IAA,indoleacetate
exGF18,AngII,COL,0.331,3-IAA,indoleacetate
exGF19,AngII,COL,0.445,3-IAA,indoleacetate
GF07,AngII,GF,0.45,3-IAA,indoleacetate
GF08,AngII,GF,0.567,3-IAA,indoleacetate
GF09,AngII,GF,0.901,3-IAA,indoleacetate
GF10,AngII,GF,0.402,3-IAA,indoleacetate
GF15,AngII,GF,0.467,3-IAA,indoleacetate
GF16,AngII,GF,0.655,3-IAA,indoleacetate
GF17,AngII,GF,0.69,3-IAA,indoleacetate
GF19,AngII,GF,0.403,3-IAA,indoleacetate
GF20,AngII,GF,0.413,3-IAA,indoleacetate
GF21,AngII,GF,0.597,3-IAA,indoleacetate
GF22,AngII,GF,0.322,3-IAA,indoleacetate
sexGF1,Sham,COL,0.336,3-IAA,indoleacetate
sexGF2,Sham,COL,0.6,3-IAA,indoleacetate
sexGF3,Sham,COL,0.409,3-IAA,indoleacetate
sexGF4,Sham,COL,0.296,3-IAA,indoleacetate
sexGF5,Sham,COL,0.296,3-IAA,indoleacetate
sGF1,Sham,GF,0.3,3-IAA,indoleacetate
sGF2,Sham,GF,0.278,3-IAA,indoleacetate
sGF3,Sham,GF,0.588,3-IAA,indoleacetate
sGF4,Sham,GF,0.373,3-IAA,indoleacetate
sGF5,Sham,GF,0.429,3-IAA,indoleacetate
exGF06,AngII,COL,1.31,ADMA,Asymmetric dimethylarginine
exGF07,AngII,COL,1.11,ADMA,Asymmetric dimethylarginine
exGF09,AngII,COL,1.09,ADMA,Asymmetric dimethylarginine
exGF10,AngII,COL,1.09,ADMA,Asymmetric dimethylarginine
exGF11,AngII,COL,1.18,ADMA,Asymmetric dimethylarginine
exGF12,AngII,COL,0.802,ADMA,Asymmetric dimethylarginine
exGF13,AngII,COL,0.844,ADMA,Asymmetric dimethylarginine
exGF14,AngII,COL,1.18,ADMA,Asymmetric dimethylarginine
exGF16,AngII,COL,0.882,ADMA,Asymmetric dimethylarginine
