ID,treatment,microbiome,1-Methylhistidine,3-Methylhistidine,Acetylcarnitine,Alanine,alpha-Aminoadipic acid,Alpha-Aminobutyric acid,Arachidonic acid,Arginine,Asparagine,Aspartic Acid,Asymmetric dimethylarginine,Betaine,Butyrylcarnitine,Carnitine,Carnosine,Ceramide(d18:1/16:0),Choline,Citrulline,Cysteine,Cystine,Decanoylcarnitine,Diacylglyceride(16:0_18:2),Diacylglyceride(16:1_18:2),Diacylglyceride(18:1_18:1),Diacylglyceride(18:1_18:2),Diacylglyceride(18:2_18:2),Diacylglyceride(18:2_18:3),Diacylglyceride(18:2_20:4),Docosahexaenoic acid,Eicosadienoic acid,Eicosapentaenoic acid,Eicosatrienoic acid,Eicosenoic acid,Glutamic Acid,Glutamine,Glycine,Hexadecanoylcarnitine,Hexanoylcarnitine (Fumarylcarnitine),Hexose,Histamine,Histidine,Homoarginine,Hypoxanthine,Indoxyl sulfate,Isoleucine,Kynurenine,L-Anserine,Lactic acid,Leucine,Lysine,Lysophosphatidylcholine a C16:0,Lysophosphatidylcholine a C16:1,Lysophosphatidylcholine a C18:0,Lysophosphatidylcholine a C18:1,Lysophosphatidylcholine a C18:2,Lysophosphatidylcholine a C20:4,Lysophosphatidylcholine a C24:0,Malonylcarnitine (Hydroxybutyrylcarnitine),Methionine,Methionine-Sulfoxide,Octadecadienoate,Octadecadienylcarnitine,Octadecanoylcarnitine,Octadecenoylcarnitine,Ornithine,Phenylalanine,Phosphatidylcholine aa C30:0,Phosphatidylcholine aa C32:0,Phosphatidylcholine aa C32:1,Phosphatidylcholine aa C34:1,Phosphatidylcholine aa C34:2,Phosphatidylcholine aa C34:3,Phosphatidylcholine aa C34:4,Phosphatidylcholine aa C36:1,Phosphatidylcholine aa C36:2,Phosphatidylcholine aa C36:4,Phosphatidylcholine aa C38:4,Phosphatidylcholine aa C38:6,Phosphatidylcholine aa C40:6,Proline,Proline betaine,Propionylcarnitine,Putrescine,Sarcosine,Serine,Serotonin,Spermidine,Sphingomyelin C16:0,Sphingomyelin C18:0,Sphingomyelin C18:1,Sphingomyelin C24:1,Succinic acid,Taurine,Tauro-muricholic acids,Taurocholic acid,Tetradecanoylcarnitine,Threonine,trans-4-Hydroxyproline,Trigonelline,Trimethylamine N-oxide,Tryptophan,Tyrosine,Valerylcarnitine,Valine,Xanthine
exGF10,AngII,COL,0.373582,0.385199,3.586075,3.497506,0.742977,1.247561,2.459381,4.966524,0.896738,0.217328,0.08679,4.612593,1.112266,1.164948,0.329427,0.062127,14.739437,1.629245,0.094415,0.417512,0.28558,0.002486,0.001349,0.008447,0.006302,0.004848,0.000618,8.30E-05,5.051746,0.050791,0.376877,0.028103,0.120513,1.010016,4.610233,0.486704,0.117288,0.243548,2.631669,0.020861,1.429427,0.201431,0.799275,13.43905,1.908062,0.125909,0.619222,593.851914,3.58196,3.582935,4.975016,0.162967,2.376211,1.323562,2.909741,0.739724,0.009649,0.174799,2.039392,1.510098,1.881511,0.053468,0.063479,0.097132,0.808433,1.71201,0.016612,0.193511,0.085197,2.496323,4.910532,0.236738,0.00812,0.505249,3.675274,1.788274,1.25997,1.448525,0.56484,1.202141,0.337196,0.515707,0.249308,0.0105815,2.090221,3.30105,0.812111,0.447297,0.035209,0.013338,0.293356,139.703827,5.522405,0.22575475,0.456922,0.044664,2.94726,1.637628,0.202078,0.823554,1.600983,1.583,0.108865,3.518013,0.753682
exGF16,AngII,COL,0.45056,0.40046,3.10876,2.552291,0.427197,0.920336,3.302405,3.918219,0.777305,0.242242,0.070845,2.420332,0.24575,1.00361,0.207031,0.049818,15.232639,1.462174,0.085734,0.089956,0.208769,0.001725,0.000506,0.002718,0.003488,0.003488,0.000577,8.30E-05,7.209431,0.030332,0.486636,0.028809,0.068204,0.818941,4.125582,0.447793,0.130719,0.180028,2.988218,0.008957,1.2305,0.116044,0.749732,9.234792,1.269304,0.126218,0.544026,482.970219,2.501064,2.29438,5.640621,0.142207,3.073194,1.184767,3.097772,0.783012,0.006835,0.127559,1.067541,0.940008,1.429185,0.051752,0.068252,0.11838,0.458412,1.438856,0.013018,0.14516,0.033834,1.339021,3.779722,0.145176,0.004004,0.310707,2.755582,1.244095,1.012916,1.247463,0.475143,0.78454,0.195835,0.352781,0.174605,0.0105815,2.00651,1.584762,0.653171,0.452789,0.040286,0.014303,0.328966,46.595611,6.126388,0.22575475,0.192596,0.052607,2.1836,0.971568,0.14486,0.359182,1.629016,0.811308,0.098599,2.741169,0.82254
exGF11,AngII,COL,0.452787,0.412717,3.723119,4.135452,0.896716,1.605446,2.686561,4.722874,0.993549,0.268923,0.093785,4.505887,0.495756,1.151543,0.491011,0.056247,13.14786,1.773638,0.137931,0.669291,0.30904,0.002481,0.000898,0.008215,0.005611,0.004968,0.000586,8.30E-05,4.621799,0.03363,0.355344,0.026835,0.075143,1.076682,4.665257,0.51403,0.111776,0.220345,3.54432,0.023483,1.420184,0.230047,0.843774,11.321813,1.928762,0.172299,0.940244,611.006944,3.973067,3.944569,5.459492,0.169138,2.553247,1.454161,3.087076,0.81882,0.007765,0.257377,1.901082,1.322575,1.332388,0.0598,0.073485,0.117097,0.774868,1.565814,0.015279,0.199927,0.084785,2.530545,4.540745,0.24567,0.007453,0.491324,3.272312,2.023087,1.33558,1.478605,0.552976,1.322154,0.342434,0.538546,0.312505,0.0105815,2.259461,3.370877,1.000711,0.472528,0.040111,0.015371,0.306733,151.625,5.70562,0.22575475,0.380165,0.045755,3.22108,1.81386,0.205284,0.860244,1.741071,1.617132,0.117772,3.983265,0.710745
exGF17,AngII,COL,0.472517,0.584402,4.019514,3.493241,0.441089,1.005221,3.204443,4.15588,0.981547,0.298503,0.092755,3.161511,0.259629,1.188637,0.318216,0.040418,18.40421,1.598216,0.107287,0.184526,0.249854,0.002544,0.000779,0.004799,0.00454,0.005921,0.000513,8.30E-05,5.233733,0.030736,0.360527,0.022352,0.067234,0.975914,4.114625,0.431684,0.125932,0.162936,3.135695,0.007341,1.220214,0.030495,0.071216,7.895292,1.654594,0.157125,0.62747,522.416667,3.296333,2.960829,5.82156,0.171028,2.488149,1.251261,2.670705,0.652228,0.007236,0.216791,1.390987,1.106495,1.489802,0.050968,0.061203,0.119821,0.633199,1.320058,0.011661,0.166321,0.046139,1.879669,4.061263,0.171458,0.005152,0.351682,2.727237,1.457703,0.925884,1.221449,0.388654,0.991181,0.279882,0.377944,0.222456,0.0105815,2.087601,3.611191,0.584142,0.437159,0.030612,0.014492,0.286544,44.542484,6.258573,0.22575475,0.411286,0.053794,2.866364,1.452995,0.166992,0.623242,1.412433,1.023307,0.109267,3.653137,0.32563
exGF12,AngII,COL,0.288215,0.250198,4.455912,3.859117,0.355166,1.556148,2.362163,2.837987,1.079594,0.2458,0.06459,3.546216,0.303459,0.928662,0.197172,0.030458,8.86433,0.867725,0.098385,0.471186,0.227036,0.003405,0.001366,0.00506,0.005833,0.006721,0.000608,8.30E-05,4.682447,0.042588,0.316278,0.031829,0.076904,0.466672,4.623528,0.468892,0.108187,0.214127,5.106163,0.011637,1.467953,0.162716,0.194976,9.209894,1.593742,0.091154,0.419735,405.066766,3.403858,2.328721,4.066317,0.11413,1.634191,0.832647,2.651695,0.680168,0.006925,0.200434,1.401858,0.881889,1.630529,0.05135,0.041494,0.090504,0.478543,1.378732,0.012118,0.133675,0.050054,1.359665,3.902216,0.209789,0.005987,0.243406,2.517041,1.634485,0.951334,1.257825,0.356895,0.944621,0.110306,0.712644,0.184946,0.0105815,2.163063,2.865315,0.475552,0.342996,0.030049,0.01355,0.233027,70.765579,5.593756,0.22575475,0.226855,0.049378,2.495351,1.221595,0.116019,0.369062,1.369346,1.412064,0.117867,3.059635,0.238669
exGF18,AngII,COL,0.487274,0.6705,3.095969,3.179893,0.338518,1.301728,3.407736,3.406877,1.080928,0.212018,0.093557,3.266972,0.662321,0.977963,0.19688,0.076382,15.881031,1.708856,0.063339,0.168241,0.220064,0.002107,0.000871,0.002816,0.003444,0.004025,0.000581,8.30E-05,6.56937,0.04131,0.262877,0.022471,0.08071,0.70588,3.181081,0.418071,0.135736,0.214103,2.113154,0.022418,0.860411,0.027464,0.649768,10.324701,1.5195,0.109293,0.444975,536.199678,2.468271,2.803911,5.635867,0.171492,2.646375,1.307795,2.66721,1.04298,0.006831,0.211347,1.435075,1.604587,1.153877,0.082002,0.063527,0.128146,0.743344,1.515813,0.012653,0.166346,0.055233,1.450609,4.093494,0.222692,0.009728,0.266498,2.607381,2.21628,1.448192,1.678034,0.458168,1.256866,0.32458,0.402215,0.363736,0.0105815,1.449203,2.219688,1.562387,0.323639,0.020354,0.007551,0.184969,115.673108,5.63717,0.22575475,0.965551,0.064274,2.743289,1.177307,0.179989,0.274974,1.437208,1.374676,0.095915,2.615577,0.728798
exGF07,AngII,COL,0.366912,0.412404,2.942095,3.546691,0.568128,1.50551,1.977113,5.135207,0.844687,0.157312,0.088306,2.47527,0.89527,0.927149,0.22704,0.067439,10.732747,1.746469,0.08627,0.221509,0.298463,0.003371,0.00099,0.005902,0.005721,0.008071,0.00106,8.30E-05,4.268365,0.036252,0.272425,0.018659,0.059474,0.449149,3.335034,0.483683,0.096449,0.145347,2.955662,0.009597,1.317279,0.258646,0.398775,13.927403,1.701852,0.12323,0.420995,435.71865,3.295289,3.516011,5.118575,0.129417,3.069625,1.16762,3.017686,0.766337,0.011416,0.191469,1.714556,1.550757,1.887071,0.039663,0.05433,0.07999,0.788991,1.470241,0.017053,0.177223,0.071072,2.059266,4.589672,0.226971,0.006932,0.477192,3.689912,1.92911,1.532885,1.434414,0.622322,0.998597,0.183086,0.362266,0.213341,0.0105815,2.031602,1.379452,0.498498,0.477459,0.035345,0.014491,0.331236,67.680064,5.720007,0.22575475,0.187948,0.046019,3.336729,1.73463,0.28283,0.027744,1.408933,1.104549,0.09729,3.536193,0.440378
exGF13,AngII,COL,0.252968,0.241831,5.12769,3.249855,0.408012,1.742967,2.737565,3.609455,0.835881,0.210312,0.06791,3.417556,0.451399,0.883945,0.24028,0.054992,9.444494,1.034704,0.103403,0.590549,0.296078,0.003762,0.001762,0.008438,0.007319,0.005653,0.000577,8.30E-05,5.477419,0.060767,0.35692,0.038192,0.153336,0.708026,4.990618,0.494473,0.151437,0.275979,4.32139,0.012687,1.349067,0.148623,1.3034,10.602839,1.42473,0.075338,0.429743,464.895623,2.699668,2.511462,4.532532,0.135741,2.069567,1.077884,2.931832,0.947041,0.008823,0.290747,1.151393,0.711232,2.102168,0.081696,0.061477,0.166709,0.443076,1.123049,0.013731,0.170108,0.070161,1.76376,4.192942,0.226496,0.007343,0.323385,2.883646,2.00308,1.359194,1.409981,0.467634,0.849461,0.093803,0.902797,0.164,0.0105815,1.792835,3.329653,0.659752,0.401255,0.03482,0.013859,0.258876,101.858586,5.982323,0.22575475,0.719336,0.063957,2.588223,1.218234,0.117057,0.47592,1.27336,1.099007,0.129212,2.632353,0.702554
exGF19,AngII,COL,0.248937,0.331182,3.587084,3.549861,0.548687,1.556509,1.79382,4.616839,1.216155,0.340704,0.070005,4.847764,1.70419,1.025683,0.229261,0.071581,11.717883,1.584709,0.080406,0.225007,0.227649,0.001782,0.000617,0.003985,0.002604,0.002859,0.000618,8.30E-05,2.551412,0.032896,0.173859,0.01535,0.040713,0.849307,4.425336,0.415592,0.096025,0.179655,2.692027,0.027123,1.657058,0.425259,0.134527,8.125851,2.054405,0.116399,0.631434,438.062593,4.070541,3.913589,4.685468,0.169528,2.265173,1.29349,2.763341,0.718004,0.006475,0.164137,1.826838,2.062423,0.902741,0.043616,0.046908,0.079435,1.076028,1.834914,0.013073,0.152868,0.088874,2.085929,3.922114,0.182796,0.006533,0.41277,2.870681,1.664594,1.10677,1.073251,0.393713,1.445569,0.246462,0.785643,0.245393,0.0105815,2.792557,2.913401,0.388249,0.39347,0.030887,0.011039,0.220912,66.919523,5.403053,0.22575475,0.572005,0.036889,3.933374,1.02826,0.180946,0.335746,1.613271,1.334256,0.163176,4.38932,0.302243
exGF09,AngII,COL,0.300597,0.37247,4.72483,3.318882,0.54708,1.250362,2.745151,4.667705,0.85261,0.212488,0.087244,3.146413,1.906224,1.308652,0.351975,0.058775,13.986583,1.656764,0.11385,0.503401,0.351455,0.003509,0.000893,0.007065,0.006185,0.005768,0.000618,8.30E-05,5.424869,0.061649,0.36886,0.031576,0.106501,0.688432,4.380503,0.478978,0.146159,0.332156,3.923403,0.024344,1.440187,0.078514,0.562897,9.371889,1.787479,0.106762,0.712474,652.623946,3.821906,3.48104,5.17037,0.162155,2.611635,1.312802,3.330849,0.95326,0.010034,0.287703,1.454501,1.008759,2.010222,0.074758,0.072679,0.14242,0.568792,1.700077,0.017853,0.190824,0.076571,2.169033,4.379862,0.2598,0.009079,0.490594,3.491876,2.13453,1.548126,1.509064,0.541406,0.921359,0.154156,0.542939,0.244262,0.0105815,1.941187,3.254442,0.634694,0.586076,0.042642,0.018331,0.348785,218.006745,5.690182,0.22575475,0.238445,0.061293,3.033357,1.911211,0.135868,0.469865,1.697102,1.731341,0.226319,3.415459,0.568312
